,id_str
0,1379584706824507395
1,1379584707042549763
2,1379584706816139276
3,1379584707394949120
4,1379584708741373952
5,1379584708829413377
6,1379584708925825028
7,1379584709026476033
8,1379584708938493952
9,1379584709064335362
10,1379584709164986369
11,1379584709093564416
12,1379584709433257984
13,1379584709538107398
14,1379584709689102336
15,1379584709802479622
16,1379584710247059465
17,1379584710419046409
18,1379584713266970627
19,1379584715124973568
20,1379584715464794116
21,1379584715469029384
22,1379584716521807873
23,1379584717679288324
24,1379584719851909129
25,1379584720154071042
26,1379584720682422274
27,1379584721311690758
28,1379584729247227904
29,1379584730002300932
30,1379584730551713795
31,1379584731033956356
32,1379584730908213250
33,1379584732816674819
34,1379584733894545409
35,1379584734066573313
36,1379584735068950535
37,1379584737497468930
38,1379584738579648517
39,1379584742069272578
40,1379584742253862918
41,1379584743583399944
42,1379584744497803268
43,1379584746842378240
44,1379584747224072192
45,1379584748545171457
46,1379584748708827144
47,1379584751091212288
48,1379584754731876352
49,1379584755411353607
50,1379584757164429312
51,1379584758435487746
52,1379584759425294339
53,1379584760113205249
54,1379584760478105607
55,1379584762143244294
56,1379584762231283713
57,1379584762700951558
58,1379584763011420161
59,1379584765809061888
60,1379584765733564424
61,1379584766257721344
62,1379584766777962501
63,1379584766953988096
64,1379584767218229248
65,1379584767734190086
66,1379584769139351552
67,1379584769655201800
68,1379584771660120067
69,1379584773107109896
70,1379584780413583368
71,1379584783412498437
72,1379584787136929792
73,1379584787611054087
74,1379584791796850690
75,1379584802437799936
76,1379584803918450693
77,1379584804170031105
78,1379584808796499970
79,1379584810356719616
80,1379584813523476481
81,1379584817088581649
82,1379584817994604544
83,1379584820670558218
84,1379584826446086144
85,1379584835971395590
86,1379584839423160322
87,1379584841243619330
88,1379584853595856898
89,1379584859253932041
90,1379584859660767239
91,1379584860897959937
92,1379584875758505984
93,1379584879831220225
94,1379584882402238467
95,1379584885267038216
96,1379584887087198215
97,1379584897178812416
98,1379584900924383234
99,1379584901243101185
100,1379584903394775040
101,1379584903818412036
102,1379584904875347970
103,1379584906481786883
104,1379584907958226945
