,id_str
0,1431044250527879168
1,1431044251438129154
2,1431044264126001152
3,1431044264201527297
4,1431044280760549380
5,1431044280177422338
6,1431044289212076034
7,1431044292504547331
8,1431044306203136007
9,1431044322607120386
10,1431044323030704137
11,1431044326545571845
12,1431044330714767366
13,1431044335584305153
14,1431044342748229634
15,1431044355498909704
16,1431044360771153926
17,1431044402214965250
18,1431044410771316739
19,1431044419101282310
20,1431044423400398848
21,1431044444606840833
22,1431044447123513344
23,1431044460876640259
24,1431044477884551170
25,1431044490446479361
26,1431044511237554179
27,1431044515641630724
28,1431044519651332104
29,1431044519781339141
30,1431044519978536967
31,1431044524319596546
32,1431044532699897859
33,1431044549552476164
34,1431044553616728065
35,1431044565872480256
36,1431044570456870912
37,1431044570289147904
38,1431044574357737476
39,1431044582393982979
40,1431044591025803271
41,1431044608037900289
42,1431044620352360454
43,1431044645975433220
44,1431044654292733959
45,1431044654305185796
46,1431044658356961282
47,1431044662169464834
48,1431044670755332101
49,1431044675297857536
50,1431044729588928522
51,1431044737667059713
52,1431044763088687104
53,1431044763151572996
54,1431044763097059334
55,1431044788258844672
56,1431044792071467016
57,1431044792390242304
58,1431044796735442951
59,1431044796186046467
60,1431044800250269696
61,1431044801185468417
62,1431044805296107525
63,1431044809494437888
64,1431044843032121346
65,1431044846823755784
66,1431044847109091332
67,1431044868424577029
68,1431044893326069764
69,1431044914389798917
70,1431044939715026944
71,1431044960145612803
72,1431044968311754754
73,1431044985722478592
74,1431044989660901378
75,1431045006429724678
76,1431045018781986820
77,1431045022921678853
78,1431045044417572869
79,1431045048334835713
80,1431045060645249030
81,1431045064998916096
82,1431045069218406405
83,1431045077783126019
84,1431045082124333058
85,1431045081402859524
86,1431045094111592453
87,1431045094342217728
88,1431045124138541058
89,1431045127934464004
90,1431045128077017089
91,1431045132304977923
92,1431045139774902272
93,1431045149178617857
94,1431046294857031682
95,1431046306361856009
96,1431046306760437767
97,1431046323239800837
98,1431046331926261764
99,1431046335868727296
100,1431046340256092161
101,1431046344043601927
102,1431046344429510658
103,1431046365082267656
104,1431046365145182213
105,1431046365195476993
106,1431046369863557120
107,1431046386162798592
108,1431046385223274498
109,1431046394484338688
110,1431046411643142148
111,1431046411617931264
112,1431046415514587139
113,1431046432417538048
114,1431046444929232897
115,1431046457352540169
116,1431046466328567809
117,1431046470237573124
118,1431046487035809796
119,1431046490936463361
120,1431046499417288709
121,1431046499727814657
122,1431046507818483714
123,1431046508007284737
124,1431046508175036421
125,1431046516429496322
126,1431046520632008705
127,1431046529280843778
128,1431046545433051138
129,1431046558158659584
130,1431046562336100352
131,1431046579260071938
132,1431046579583176707
133,1431046596242853897
134,1431046604937695236
135,1431046620918030342
136,1431046625133154306
137,1431046638131322880
138,1431046658754744322
139,1431046659241172992
140,1431046663129419780
141,1431046671681601540
142,1431046684302209030
143,1431046696490913792
144,1431046701150707717
145,1431046709522485253
146,1431046717856751617
147,1431046721967038466
148,1431046734474473472
149,1431046738370990083
150,1431046738622681089
151,1431046742682656769
152,1431046742812864513
153,1431046759401275394
154,1431046763591487488
155,1431046768033153026
156,1431046776136556549
157,1431046776673521668
158,1431046793391874052
159,1431046797519069184
160,1431046805815394310
161,1431046825021149193
162,1431046830788276227
163,1431046843782156288
164,1431046844080017409
165,1431046856176513026
166,1431046860358180870
167,1431046869078069248
168,1431046881006821382
169,1431046889995063299
170,1431046894101229572
171,1431046894244012032
172,1431046910287093762
173,1431046910542958595
174,1431046927529832448
175,1431046948463644672
176,1431046957326168068
177,1431046990335332353
178,1431046998724055043
179,1431047002775719942
180,1431047015606140928
181,1431047028130320384
182,1431047036791627778
183,1431047070085963781
184,1431047074381025282
185,1431047078088740870
186,1431047103636193282
187,1431047112070946823
188,1431047124574109701
189,1431047128546119681
190,1431047137060601860
191,1431047137396203522
192,1431047141540122625
193,1431047141569540102
194,1431047158464073728
195,1431047158334164993
196,1431047166286516226
197,1431047178957430795
198,1431048273800830980
199,1431048278020329475
200,1431048278183972866
201,1431048290632613888
202,1431048294428385280
203,1431048294591983617
204,1431048294986395651
205,1431048311323037701
206,1431048315471339532
207,1431048319703289856
208,1431048324048695300
209,1431048324136722434
210,1431048328045895684
211,1431048340867747841
212,1431048344164605953
213,1431048353433989130
214,1431048365719138305
215,1431048386984173572
216,1431048390645854211
217,1431048391245529088
218,1431048399332147200
219,1431048403711111170
220,1431048407917887489
221,1431048420509241344
222,1431048425164914696
223,1431048441573031938
224,1431048445456945157
225,1431048449592594436
226,1431048453946228737
227,1431048474657574915
228,1431048475400015874
229,1431048478738767872
230,1431048504625950724
231,1431048508455411712
232,1431048525375328259
233,1431048542110371842
234,1431048550490820624
235,1431048554760572928
236,1431048559017615370
237,1431048562905858052
238,1431048567171526658
239,1431048571533545474
240,1431048575753019393
241,1431048579762765826
242,1431048579955691525
243,1431048584351334405
244,1431048596552667137
245,1431048597081055234
246,1431048605293494273
247,1431048613833048065
248,1431048613946445827
249,1431048647110709250
250,1431048655650189318
251,1431048659471192064
252,1431048663720153088
253,1431048663799934987
254,1431048671131365376
255,1431048672096178181
256,1431048680371544067
257,1431048701406060544
258,1431048714261516290
259,1431048722381787140
260,1431048726487912452
261,1431048730652856320
262,1431048731206455299
263,1431048735094681602
264,1431048739620147208
265,1431048743374184450
266,1431048743806140416
267,1431048756145819652
268,1431048756124954624
269,1431048760507969537
270,1431048781223632896
271,1431048781458444288
272,1431048789532438529
273,1431048794272112643
274,1431048802434158603
275,1431048806330617856
276,1431048827071614985
277,1431048826949967872
278,1431048840111661062
279,1431048844016439296
280,1431048852157652992
281,1431048860953088000
282,1431048873221378048
283,1431048890489266180
284,1431048927701135360
285,1431048978796142595
286,1431048986572595203
287,1431049011172085760
288,1431049028536397824
289,1431049045347340291
290,1431049049596174339
291,1431049074128662528
292,1431049087378362369
293,1431049087533686787
294,1431049091530829826
295,1431049103937576964
296,1431049116545699845
297,1431049120840564736
298,1431049150548828168
299,1431049162980724739
300,1431050280590848004
301,1431050283182743555
302,1431050316225552387
303,1431050316594749440
304,1431050329068539905
305,1431050337448693760
306,1431050354049814530
307,1431050354431459334
308,1431050358143389699
309,1431050366347583493
310,1431050371284316163
311,1431050421167005696
312,1431050437948489736
313,1431050438107963399
314,1431050451017900036
315,1431050479660765188
316,1431050496752734208
317,1431050496949854214
318,1431050521587093508
319,1431050568156520451
320,1431050572103397376
321,1431050572216475653
322,1431050580278063107
323,1431050587991388163
324,1431050593431289858
325,1431050601362640896
326,1431050606253248517
327,1431050618211209220
328,1431050647667830785
329,1431050656094244865
330,1431050676579315716
331,1431050681377431552
332,1431050685169250306
333,1431050685261418496
334,1431050689321443329
335,1431050694262353923
336,1431050694073716740
337,1431050719130443779
338,1431050727162617860
339,1431050731520462849
340,1431050773522046983
341,1431050790060404738
342,1431050798516088834
343,1431050819546214400
344,1431050823438635010
345,1431050823904239617
346,1431050827758718980
347,1431050828110995457
348,1431050835891396608
349,1431050836692676610
350,1431050841113468930
351,1431050849342480386
352,1431050853373423620
353,1431050882536329218
354,1431050887011569664
355,1431050895140196353
356,1431050895261904901
357,1431050903512133633
358,1431050907672842242
359,1431050912135622661
360,1431050912097787908
361,1431050932842811403
362,1431050941415968773
363,1431050945878708229
364,1431050949674557440
365,1431050965721829383
366,1431050975226249223
367,1431050987796459521
368,1431050995732201472
369,1431050999926464514
370,1431051054645342209
371,1431051054603440133
372,1431051062711042051
373,1431051067517808642
374,1431051070940270592
375,1431051071112241152
376,1431051075491074054
377,1431051109280346115
378,1431051126023987201
379,1431051130231050242
380,1431051138397265920
381,1431051142704795651
382,1431051147033206787
383,1431052296046088194
384,1431052312722690048
385,1431052325045612548
386,1431052333790728193
387,1431052334063304709
388,1431052341961240579
389,1431052342166790145
390,1431052363163488257
391,1431052367642841088
392,1431052401100918785
393,1431052413725659140
394,1431052426115698690
395,1431052434256842754
396,1431052439008923652
397,1431052438941802499
398,1431052455517822984
399,1431052484840017926
400,1431052485045669889
401,1431052485322543104
402,1431052493107073024
403,1431052497716662277
404,1431052510043664384
405,1431052509993332736
406,1431052510177939460
407,1431052539642925059
408,1431052539475025928
409,1431052560060846081
410,1431052568478822402
411,1431052585851523072
412,1431052590058549248
413,1431052597960626176
414,1431052605782953998
415,1431052627823927298
416,1431052632106233860
417,1431052648191459332
418,1431052652322856964
419,1431052657024700416
420,1431052669330894849
421,1431052669364314114
422,1431052669750239237
423,1431052673416060929
424,1431052673793593349
425,1431052694488338432
426,1431052703216533504
427,1431052732098568195
428,1431052732513800200
429,1431052740055158793
430,1431052741024129024
431,1431052744698171394
432,1431052745004421127
433,1431052753267134468
434,1431052753418264580
435,1431052756878508034
436,1431052786964123648
437,1431052786356027394
438,1431052791091449856
439,1431052791275982853
440,1431052791049555972
441,1431052795424108555
442,1431052807671619585
443,1431052816232042501
444,1431052820019486723
445,1431052820522815488
446,1431052837329555456
447,1431052841477496836
448,1431052845353209860
449,1431052845466361856
450,1431052866844729346
451,1431052883131355138
452,1431052887677882370
453,1431052891847004160
454,1431052899774312451
455,1431052900160081923
456,1431052907688861700
457,1431052908532060161
458,1431052921093955590
459,1431052950395363330
460,1431052954539278336
461,1431052967243763716
462,1431052979583467523
463,1431052979801452545
464,1431052992518701058
465,1431053009480413184
466,1431053009467830275
467,1431053021681786882
468,1431053055110176768
469,1431053055085010947
470,1431053063628931074
471,1431053101482446851
472,1431053105831976966
473,1431053110156345344
474,1431053114522542081
475,1431053122080632832
476,1431053130993594373
477,1431053172496273408
478,1431053172496293888
479,1431053181002391554
480,1431053185226088449
481,1431053185246928899
482,1431054318317318145
483,1431054326143799296
484,1431054334645706755
485,1431054351267770371
486,1431054355025727491
487,1431054372213911555
488,1431054380304846852
489,1431054380497838087
490,1431054389125521411
491,1431054397535100928
492,1431054418196144130
493,1431054443768958977
494,1431054447942193157
495,1431054452102946826
496,1431054460625866754
497,1431054468481798148
498,1431054468838215683
499,1431054472978051078
500,1431054473007337479
501,1431054481123332100
502,1431054493894983680
503,1431054498303287299
504,1431054518708539405
505,1431054540376350723
506,1431054552439132164
507,1431054565282127875
508,1431054577575645185
509,1431054581807599622
510,1431054590573645826
511,1431054594491265029
512,1431054594914852865
513,1431054603114659843
514,1431054607497707524
515,1431054611427872770
516,1431054619552137216
517,1431054623960338432
518,1431054628158910464
519,1431054644449533960
520,1431054648832573441
521,1431054661545390081
522,1431054665853046789
523,1431054666029309952
524,1431054666104770561
525,1431054669925728260
526,1431054690767282177
527,1431054699533381638
528,1431054708047695872
529,1431054716042055681
530,1431054745322594308
531,1431054753849434112
532,1431054762447880194
533,1431054762389037058
534,1431054770580725763
535,1431054783352352777
536,1431054787332636675
537,1431054795851304961
538,1431054799521435649
539,1431054799898742784
540,1431054800330711041
541,1431054821256204291
542,1431054829305188353
543,1431054842076700674
544,1431054861890695172
545,1431054867229937670
546,1431054871332020224
547,1431054875937419268
548,1431054884179259397
549,1431054896531341314
550,1431054896812466177
551,1431054905020755969
552,1431054913384194054
553,1431054917750378496
554,1431054934108254216
555,1431054934347243525
556,1431054947169230852
557,1431054951095144448
558,1431054967998091266
559,1431054980597886977
560,1431054984687153153
561,1431054984641138688
562,1431055001338531843
563,1431055010016735234
564,1431055022754762755
565,1431055039439777798
566,1431055042979708936
567,1431055047689973764
568,1431055055826849796
569,1431055056162283520
570,1431055056254562306
571,1431055064404303876
572,1431055072750981122
573,1431055072885190659
574,1431055081118515200
575,1431055081290403844
576,1431055081198264325
577,1431055085614759937
578,1431055114685480965
579,1431055118561021957
580,1431055118204612609
581,1431055118863003651
582,1431055122864484353
583,1431055122650501125
584,1431055122960994309
585,1431055126878466057
