,id_str
0,1342983532331769856
1,1342983533279801347
2,1342983533313347585
3,1342983532696596480
4,1342983533011329024
5,1342983533850222597
6,1342983534429024259
7,1342983535041282048
8,1342983535586512896
9,1342983535305474049
10,1342983535792160768
11,1342983535649439746
12,1342983536165462019
13,1342983535854931969
14,1342983536257757188
15,1342983536463101952
16,1342983536488300544
17,1342983536555524104
18,1342983539361525760
19,1342983540791779330
20,1342983541328650240
21,1342983542100258816
22,1342983544969302023
23,1342983545632006144
24,1342983547905339393
25,1342983548605788162
26,1342983551277551616
27,1342983551755694080
28,1342983552397283328
29,1342983552065925120
30,1342983554255511552
31,1342983555115319296
32,1342983561553567753
33,1342983569023623172
34,1342983570672013318
35,1342983572160995329
36,1342983572572037129
37,1342983571561189376
38,1342983573356347392
39,1342983573859672064
40,1342983576447422464
41,1342983576837619715
42,1342983578422890503
43,1342983578896850945
44,1342983582101336065
45,1342983582533386241
46,1342983583720300550
47,1342983590179553280
48,1342983590100033541
49,1342983594063654913
50,1342983598232768512
51,1342983600845807618
52,1342983598685753345
53,1342983604129968129
54,1342983611310551045
55,1342983612250075138
56,1342983612958986240
57,1342983613319622657
58,1342983614435352576
59,1342983615836258307
60,1342983617358802946
61,1342983619271401472
62,1342983619841765377
63,1342983620856672258
64,1342983620928090112
65,1342983623499276290
66,1342983625759973380
67,1342983626401714180
68,1342983631128563712
69,1342983631174848514
70,1342983632265359362
71,1342983636673388544
72,1342983640083525633
73,1342983642990206976
74,1342983643732520962
75,1342983644680478720
76,1342983646056226816
77,1342983656705413121
78,1342983661201842184
79,1342983663689097216
80,1342983664322408451
81,1342983667224870920
82,1342983670185922560
83,1342983671561777158
84,1342983673604415489
85,1342983674183245825
86,1342983674862698500
87,1342983675764465665
88,1342983677639200768
89,1342983678004260867
90,1342983679002472449
91,1342983687202336768
92,1342983687407857668
93,1342983688057831424
94,1342983703002275840
95,1342983705896378368
96,1342983710036160513
97,1342983718164688897
98,1342983723919290370
99,1342983724221100032
100,1342983723931873280
101,1342983726679015425
102,1342983728377696257
103,1342983733465505792
104,1342983735126450179
105,1342983735436857346
106,1342983740562288642
107,1342983746014756864
108,1342983747646320640
109,1342983749940686848
110,1342983761038815235
111,1342983763358265348
112,1342983764624850944
113,1342983765732241411
114,1342983770325049344
115,1342983782970912768
116,1342983784065449986
117,1342983784304574465
118,1342983785227427842
119,1342983787874029570
120,1342983788381540354
