,id_str
0,1358203822351536128
1,1358203823395848195
2,1358203823529943040
3,1358203823462916096
4,1358203823467204608
5,1358203823765020672
6,1358203824188649477
7,1358203825576902662
8,1358203825560166400
9,1358203825203601409
10,1358203825769893892
11,1358203826038140931
12,1358203826306576386
13,1358203826268999680
14,1358203825803456512
15,1358203826348711937
16,1358203826499686400
17,1358203826461892616
18,1358203826688253952
19,1358203826285674498
20,1358203827044765696
21,1358203829439856640
22,1358203829695766530
23,1358203831792799744
24,1358203834292727815
25,1358203837346054146
26,1358203837530726407
27,1358203839208431628
28,1358203838537285632
29,1358203840340897795
30,1358203843901861892
31,1358203843998277634
32,1358203848708526082
33,1358203848519745536
34,1358203856098893824
35,1358203858124742664
36,1358203866244874245
37,1358203867763269634
38,1358203870954967045
39,1358203876302852106
40,1358203881206018050
41,1358203885949714432
42,1358203886490779648
43,1358203887468036097
44,1358203887560318979
45,1358203889615589377
46,1358203890290860032
47,1358203895164583941
48,1358203893323362312
49,1358203896015933443
50,1358203893877002240
51,1358203897064603649
52,1358203899610546176
53,1358203901531607041
54,1358203901485408257
55,1358203902290759682
56,1358203903280611328
57,1358203905402834944
58,1358203905298083841
59,1358203912533204994
60,1358203913955127297
61,1358203917377667072
62,1358203918803730433
63,1358203920242327552
64,1358203921022541826
65,1358203927569649665
66,1358203933261455361
67,1358203937287852036
68,1358203940987416578
69,1358203942115500032
70,1358203944686653442
71,1358203946108559361
72,1358203946515501056
73,1358203947723407365
74,1358203952303636480
75,1358203952978743298
76,1358203953628938241
77,1358203955315159041
78,1358203958683029505
79,1358203960184557568
80,1358203959295508483
81,1358203962390904845
82,1358203966186692611
83,1358203970385281025
84,1358203975145689088
85,1358203985145061376
86,1358203989494497281
87,1358203998881406976
88,1358204000018067465
89,1358204005105696768
90,1358204006045278215
91,1358204009585197064
92,1358204014643601409
93,1358204014597398528
94,1358204014836473868
95,1358204017336332288
96,1358204027574521856
97,1358204033484419074
98,1358204044989366273
99,1358204048986537986
100,1358204064409018374
101,1358204067076595712
102,1358204074382880768
103,1358204074668269570
104,1358204074857009157
105,1358204074815062016
106,1358204074798141441
107,1358204084608761856
108,1358204085808345088
109,1358204087528001536
110,1358204088291360771
111,1358204093466988544
112,1358204094113013767
113,1358204098953232384
114,1358204099460694017
115,1358204102845505536
116,1358204112878370816
117,1358204113360617475
118,1358204114547703810
119,1358204116577751041
120,1358204117722697728
121,1358204118553272320
122,1358204124190318592
123,1358204137423343616
124,1358204144037728257
125,1358204149498712064
126,1358204152694865920
127,1358204162434084866
128,1358204167614058497
129,1358204167286833165
130,1358204176929615872
131,1358204177214750720
132,1358204183703388160
133,1358204184244412416
134,1358204203072688132
135,1358204220361609217
136,1358204225344294914
137,1358204227466756099
138,1358204237432381440
139,1358204239139512320
140,1358204243291693056
141,1358204250359218179
142,1358204255228866560
143,1358204262342299648
144,1358204263462100993
145,1358204268973613056
146,1358204273948037122
147,1358204291249496064
148,1358204296735698945
149,1358204305740869632
150,1358204307426795523
151,1358204323147231237
152,1358204326297100295
153,1358204326926295040
154,1358204327953850370
155,1358204328138448896
156,1358204338578075652
157,1358204348866695168
158,1358204351249022976
159,1358204366067490825
160,1358204375831883782
161,1358204377685782528
162,1358204377895292931
163,1358204377782235139
164,1358204391891812354
165,1358204400376815617
166,1358204406303490051
167,1358204408002039810
168,1358204421193220097
169,1358204429359484929
170,1358204435663646721
171,1358204438494597121
172,1358204439660613633
173,1358204456207228928
174,1358204460384669696
175,1358204461710245888
176,1358204464893747207
177,1358204467347415051
178,1358204468538597377
179,1358204504232108037
180,1358204505720954882
181,1358204507260215296
182,1358204510024343553
183,1358204523806818307
184,1358204533348786176
185,1358204541422997505
186,1358204545893953536
187,1358204547009830912
188,1358204575325573120
189,1358204576076161024
190,1358204578114785288
191,1358204578123177984
192,1358204580392222722
193,1358204582468472833
194,1358204586775904256
195,1358204586612383748
196,1358204603695837185
197,1358204619248332801
198,1358204628370923520
199,1358204643684323329
200,1358204658595082240
201,1358204659865972743
202,1358204674231463944
203,1358204678853386240
204,1358204679855894533
205,1358204683597344768
206,1358204685258211328
207,1358204689280454656
208,1358204695450275840
209,1358204697279156225
210,1358204698453553153
211,1358204712860852224
212,1358204713884291074
213,1358204726635028481
214,1358204743030562819
215,1358204746784530436
216,1358204751675015170
217,1358204761703653376
218,1358204763519799299
219,1358204771388203012
220,1358204777654489088
221,1358204784965087232
222,1358204791969693696
223,1358204799888588800
224,1358204811754274817
225,1358204823141777410
226,1358204824299462656
227,1358204828757807104
228,1358204832813883394
229,1358204832964694017
230,1358204838128070656
231,1358204849175678977
232,1358204857992241154
233,1358204873217613828
234,1358204875339821056
235,1358204879127404548
236,1358204880104677385
237,1358204880213729280
238,1358204899268259840
239,1358204901982171136
240,1358204902632288265
241,1358204903026348032
242,1358204910521651200
243,1358204912283262978
244,1358204922328678402
245,1358204930528604160
246,1358204933930061824
247,1358204940129161221
248,1358204944210399232
249,1358204947750391808
250,1358204948727668737
251,1358204949570543618
252,1358204953517387778
253,1358204957690912768
254,1358204978238607363
255,1358204979501142016
256,1358204985981472775
257,1358204987260563457
258,1358204995619999745
259,1358204999159996416
260,1358205013311459331
261,1358205026133397504
262,1358205034555580416
263,1358205036262641664
264,1358205039655804929
265,1358205050670231553
266,1358205052326969344
267,1358205058169663492
268,1358205058316455938
269,1358205068475006977
270,1358205079719792641
271,1358205081385058307
272,1358205081456377860
273,1358205081271771137
274,1358205081355751424
275,1358205087169003522
276,1358205087496212482
277,1358205087844339713
278,1358205087995338764
279,1358205095767334913
280,1358205096010670080
281,1358205097084297216
282,1358205102947848193
283,1358205104348749824
284,1358205114138378246
285,1358205119725240322
286,1358205140088459264
287,1358205154491846657
288,1358205154680467456
289,1358205168937013248
290,1358205169654263809
291,1358205180244856839
292,1358205187869954050
293,1358205188222291969
294,1358205208510099459
295,1358205217528025090
296,1358205230425329666
297,1358205247957602304
298,1358205253309653004
299,1358205256392445954
300,1358205256413237254
301,1358205268060995584
302,1358205270955024392
303,1358205272372568064
304,1358205301921619968
305,1358205303276392448
306,1358205305759367170
307,1358205307378401281
308,1358205311442649111
309,1358205316580724736
310,1358205316769280000
311,1358205325850136578
312,1358205332762329090
313,1358205335207632898
314,1358205341826232322
315,1358205345861152769
316,1358205346330910723
317,1358205356644716549
318,1358205369755947008
319,1358205380136898562
320,1358205383412711425
321,1358205395215515655
322,1358205408230465549
323,1358205410008723459
324,1358205423715684357
325,1358205428455378948
326,1358205431722737669
327,1358205438945206272
328,1358205440333672452
329,1358205444573986817
330,1358205449519173635
331,1358205465109356544
332,1358205484298342408
333,1358205491307024390
334,1358205522835431424
335,1358205541722562562
336,1358205542515306496
337,1358205563146964994
338,1358205566842068992
339,1358205569874751488
340,1358205572227739648
341,1358205574492659715
342,1358205576887566336
343,1358205579945275394
344,1358205584458321920
345,1358205584437252100
346,1358205586169614337
347,1358205587868246017
348,1358205588069617664
349,1358205603772964864
350,1358205608344788995
351,1358205629870047233
352,1358205630113226752
353,1358205631128297473
354,1358205631476469760
355,1358205632738975745
356,1358205633221255170
357,1358205634957594625
358,1358205638946418689
359,1358205640162881538
360,1358205645749694465
361,1358205666909974530
362,1358205679102754817
363,1358205679299870723
364,1358205699109629958
365,1358205719242178560
366,1358205721670688768
367,1358205789878501379
368,1358205790826291201
369,1358205804919336963
370,1358205845662818305
371,1358205854990934018
372,1358205854990876672
373,1358205855653593088
374,1358205858031755267
375,1358205860829425665
376,1358205867238318088
377,1358205879879925761
378,1358205882933284864
379,1358205891594620928
380,1358205895155601411
381,1358205901002440707
382,1358205902806003713
383,1358205907721723911
384,1358205910661779457
385,1358205918291374085
386,1358205920711487488
387,1358205923685265412
388,1358205931331461120
389,1358205933684461574
390,1358205972242599936
391,1358205974411022336
392,1358205980853620737
393,1358205981675560962
394,1358205985802756105
395,1358205990580195333
396,1358206001623691266
397,1358206002827460609
398,1358206017524420608
399,1358206036012896256
400,1358206035954130944
401,1358206038697123842
402,1358206038797930496
403,1358206045173264386
404,1358206047815536641
405,1358206049111707650
406,1358206055885533184
407,1358206067608440832
408,1358206069688836097
409,1358206087690940418
410,1358206087770611717
411,1358206092816359430
412,1358206094305333250
413,1358206105025978369
414,1358206117398990849
415,1358206130040758275
416,1358206173942587397
417,1358206176320770048
418,1358206194234445829
419,1358206198420566019
420,1358206201679519746
421,1358206214316908549
422,1358206219173920771
423,1358206225138274304
424,1358206249163100160
425,1358206255987380224
426,1358206256243240962
427,1358206263704846338
428,1358206287687860229
429,1358206287721422849
430,1358206288212070400
431,1358206288937779202
432,1358206291336957954
433,1358206308437037056
434,1358206310940954626
435,1358206339802161154
436,1358206339466489856
437,1358206346701787139
438,1358206346978541572
439,1358206346940846082
440,1358206349390172160
441,1358206349264506881
442,1358206350069743628
443,1358206353492303872
444,1358206365915770880
445,1358206389953396739
446,1358206419653304320
447,1358206422933254148
448,1358206431116230656
449,1358206434987671553
450,1358206457351712769
451,1358206459465629700
452,1358206466348433410
453,1358206469523398657
454,1358206524712173568
455,1358206524670185473
456,1358206529418104832
457,1358206535902584832
458,1358206541673947139
459,1358206546673471488
460,1358206551555776512
461,1358206556802748417
462,1358206561362071556
463,1358206564100935682
464,1358206579947036672
465,1358206591082713088
466,1358206591925846016
467,1358206596648558592
468,1358206602617192456
469,1358206608178831362
470,1358206609110028290
471,1358206612658417664
472,1358206615606935552
473,1358206619612373003
474,1358206625509593088
475,1358206630421274626
476,1358206646502178820
477,1358206651342413826
478,1358206662528663554
479,1358206670367776771
480,1358206687199571969
481,1358206694677905410
482,1358206703838371845
483,1358206714995113984
484,1358206716240924674
485,1358206722075226116
486,1358206724780433408
487,1358206730291838977
488,1358206737027723267
489,1358206737849987072
490,1358206756300730371
491,1358206757017911302
492,1358206760360816647
493,1358206767801458696
494,1358206773153435649
495,1358206781361582080
496,1358206789087498240
497,1358206794754125826
498,1358206800701620226
499,1358206813250945024
500,1358206822616682497
501,1358206824617553922
502,1358206834058940416
503,1358206837678428161
504,1358206846121697280
505,1358206853122039808
506,1358206855324041216
507,1358206855315476480
508,1358206867223281664
509,1358206874508693504
510,1358206887305486336
511,1358206888077369345
512,1358206890514280452
513,1358206906297384967
514,1358206910248460291
515,1358206929345138693
516,1358206942351667207
517,1358206946105507843
518,1358206948882018306
519,1358206962932961282
520,1358206972340879360
521,1358206972504473607
522,1358206988077969411
523,1358206991693357056
524,1358206994184736769
525,1358206995497684993
526,1358206999939399680
527,1358207001919172608
528,1358207007698743297
529,1358207014183313408
530,1358207030725648387
531,1358207043681718273
532,1358207054050062336
533,1358207053211209729
534,1358207057489461248
535,1358207060035444736
536,1358207094470672384
537,1358207095221420034
538,1358207098245505025
539,1358207124166254592
540,1358207130990497792
541,1358207133695635456
542,1358207141786574858
543,1358207144479363075
544,1358207149416067072
545,1358207160329592833
546,1358207161302724608
547,1358207171301892097
548,1358207187840073730
549,1358207195356286979
550,1358207196081831938
551,1358207201140215810
552,1358207204411592704
553,1358207209197481992
554,1358207211390992388
555,1358207214012403712
556,1358207221381943306
557,1358207225655922688
558,1358207235722104834
559,1358207260875493377
560,1358207279414325250
561,1358207280848715782
562,1358207290105503746
563,1358207340839723010
564,1358207344551858183
565,1358207351241728000
566,1358207360842551298
567,1358207364554440706
568,1358207369943994369
569,1358207376864604160
570,1358207387379900432
571,1358207389975994368
572,1358207398922518528
573,1358207400696684544
574,1358207400583512064
575,1358207417977364481
576,1358207431495413760
577,1358207443470344193
578,1358207447509344256
579,1358207460658536449
580,1358207484276731911
581,1358207522964787202
582,1358207536231550979
583,1358207538546675712
584,1358207539175952384
585,1358207540333580288
586,1358207541117923329
587,1358207544787947525
588,1358207575049728000
589,1358207594632945666
590,1358207597770252288
591,1358207597828919299
592,1358207597967466497
593,1358207597749407746
594,1358207597837361159
595,1358207598043004928
596,1358207603373985793
597,1358207607132065794
598,1358207607882665985
599,1358207612915916800
600,1358207613452787712
601,1358207616791547910
602,1358207616862703617
603,1358207618087456769
604,1358207623099785216
605,1358207624311898112
606,1358207624232112130
607,1358207625674981380
608,1358207628422225922
609,1358207631924600834
610,1358207632608165888
611,1358207633673646084
612,1358207637192597504
613,1358207640938172416
614,1358207646097170434
615,1358207648689176576
616,1358207649649725442
617,1358207651704942600
618,1358207660697477125
619,1358207662513524736
620,1358207664921194496
621,1358207673800474627
622,1358207682063310849
623,1358207687297691648
624,1358207686299377664
625,1358207696730804224
626,1358207698546921472
627,1358207702665674755
628,1358207711649873921
629,1358207724165754881
630,1358207736522149889
631,1358207747968307200
632,1358207756428140544
633,1358207766536491008
634,1358207768109457410
635,1358207778511224833
636,1358207791895171072
637,1358207802662150144
638,1358207806445416448
639,1358207822497013764
640,1358207825072259074
641,1358207830935949312
642,1358207835851665410
643,1358207849428635650
644,1358207850447708165
645,1358207858681126913
646,1358207871297728515
647,1358207877102653449
648,1358207888033009665
649,1358207894865342465
650,1358207905196048385
651,1358207906349535232
652,1358207908446670848
653,1358207920165556225
654,1358207923734913026
655,1358207926784073728
656,1358207931016241155
657,1358207935000817669
658,1358207945809399808
659,1358207949336940544
660,1358207949433237507
661,1358207951131955205
662,1358207953145192449
663,1358207963140349954
664,1358207963635146754
665,1358207974070771712
666,1358207978374000641
667,1358207982882803714
668,1358207986305536001
669,1358207997835681792
670,1358207998712242182
671,1358208003292291072
672,1358208013400764423
673,1358208016059822081
674,1358208018408742912
675,1358208023651614720
676,1358208024469516289
677,1358208037685665793
678,1358208046544023552
679,1358208060137877509
680,1358208070258622465
681,1358208072389378049
682,1358208073588830215
683,1358208075946205185
684,1358208088797495300
685,1358208099983777792
686,1358208100918960131
687,1358208101091069954
688,1358208100977803273
689,1358208105386020867
690,1358208106757554176
691,1358208110649872386
692,1358208110909747200
693,1358208113497673728
694,1358208127464783872
695,1358208129423577090
696,1358208137065492480
697,1358208139171135488
698,1358208152915693568
699,1358208171744059394
700,1358208211577262080
701,1358208220158779394
702,1358208229533224962
703,1358208231068286982
704,1358208231613620224
705,1358208238039220224
706,1358208241663107078
707,1358208244708237312
708,1358208250253103107
709,1358208261867122692
710,1358208282415005698
711,1358208295257976833
712,1358208320277008385
713,1358208322432864256
714,1358208328661274624
715,1358208338635415556
716,1358208352564740096
717,1358208352669470722
718,1358208358155767809
719,1358208358705029120
720,1358208361754460163
721,1358208362140348420
722,1358208384349007872
723,1358208395334078469
724,1358208399431798784
725,1358208409691037697
726,1358208422949355523
727,1358208426619228162
728,1358208433560895488
729,1358208438661046274
730,1358208468482744322
731,1358208471745896450
732,1358208475961176066
733,1358208479220146179
734,1358208484748054528
735,1358208495330488321
736,1358208525638451207
737,1358208527702122503
738,1358208551131480065
739,1358208569552814083
740,1358208582886506504
741,1358208604243955717
742,1358208611974053889
743,1358208612640915456
744,1358208613437816835
745,1358208614461284355
746,1358208620509421568
747,1358208629342498816
748,1358208637710270465
749,1358208649383059456
750,1358208649664077824
751,1358208666839695362
752,1358208672007086080
753,1358208706169589761
754,1358208708459831298
755,1358208717368492036
756,1358208723085258752
757,1358208728844013570
758,1358208736540594176
759,1358208745046568960
760,1358208750633451521
761,1358208761895256065
762,1358208816962293764
763,1358208822649753601
764,1358208823681507328
765,1358208824516235266
766,1358208837807968256
767,1358208843101143056
768,1358208856028020737
769,1358208856166436869
770,1358208855927316488
771,1358208856325828609
772,1358208860016807936
773,1358208860755013632
774,1358208864617828355
775,1358208865599295489
776,1358208866643816453
777,1358208877620301829
778,1358208895228010505
779,1358208916082065408
780,1358208917352939520
781,1358208928417419264
782,1358208935115825152
783,1358208938269954048
784,1358208945182158850
785,1358208950164807681
786,1358208959627341825
787,1358208960877191168
788,1358208971350376449
789,1358208971673243648
790,1358208977683816454
791,1358208978145189888
792,1358208980145815553
793,1358208991894118405
794,1358209002560237572
795,1358209004388966401
796,1358209010483294214
797,1358209024739717126
798,1358209027570888705
799,1358209032956305410
800,1358209038316576768
801,1358209045690265600
802,1358209048047308802
803,1358209053084762114
804,1358209066401726466
805,1358209066561110021
806,1358209076463828995
807,1358209089096937472
808,1358209095573114883
809,1358209096252416001
810,1358209107728113672
811,1358209112392278016
812,1358209112304148483
813,1358209116129345538
814,1358209117429506048
815,1358209124454961153
816,1358209127336398848
817,1358209129379110912
818,1358209141853069314
819,1358209151319633920
820,1358209154318483458
821,1358209160853258241
822,1358209208198529025
823,1358209210127945728
824,1358209210555768833
825,1358209245334937600
826,1358209262107963400
827,1358209262141517827
828,1358209297788919808
829,1358209309662875649
830,1358209317476970497
831,1358209344236445697
832,1358209353145278465
833,1358209376444551170
834,1358209377417764869
835,1358209390696935429
836,1358209402096951296
837,1358209406874312706
838,1358209415086800898
839,1358209417364209665
840,1358209428516974595
841,1358209452789411846
842,1358209453607292928
843,1358209484460539910
844,1358209491062390786
845,1358209500965081091
846,1358209506904338432
847,1358209511480307717
848,1358209516110819332
849,1358209517356544000
850,1358209520355348481
851,1358209524113412100
852,1358209528911720448
853,1358209547878367235
854,1358209554375348233
855,1358209556292116480
856,1358209585778106368
857,1358209587070066689
858,1358209587514662914
859,1358209594321993729
860,1358209603419406338
861,1358209609060737026
862,1358209610612498437
863,1358209653398716419
864,1358209675649568768
865,1358209678648426498
866,1358209684415471617
867,1358209685166436356
868,1358209685200003074
869,1358209686705762305
870,1358209703336169472
871,1358209723317813250
872,1358209751847370752
873,1358209756704501762
874,1358209758797438978
875,1358209762752626692
876,1358209765168607236
877,1358209784906977280
878,1358209787943477249
879,1358209809154076672
880,1358209836672946176
881,1358209850971422720
882,1358209862619004928
883,1358209868256038914
884,1358209873943670787
885,1358209875600265220
886,1358209881958981635
887,1358209885452787713
888,1358209890402136065
889,1358209891781943296
890,1358209895095357441
891,1358209900808126464
892,1358209950523138048
893,1358209951617982478
894,1358209980499902465
895,1358209991065432065
896,1358210005279866881
897,1358210047172632576
898,1358210048686579712
899,1358210052117716994
900,1358210056114876421
901,1358210062565662726
902,1358210070304096256
903,1358210083365285894
904,1358210088469737473
905,1358210092831830017
906,1358210104617816065
907,1358210115531386880
908,1358210124943413251
909,1358210131066953728
910,1358210134422519810
911,1358210136993595393
912,1358210139447316481
913,1358210147504562176
914,1358210168929062912
915,1358210185517535239
916,1358210209076940805
917,1358210228903288832
918,1358210237036195843
919,1358210247148654592
920,1358210248071282688
921,1358210253741903872
922,1358210254278959106
923,1358210254115274753
924,1358210256967503873
925,1358210265876107266
926,1358210266647851009
927,1358210291624984578
928,1358210293373931520
929,1358210319907098626
930,1358210321526099968
931,1358210322155372547
932,1358210328547520512
933,1358210336634134528
934,1358210350248824841
935,1358210367852335107
936,1358210367738896384
937,1358210380351307782
938,1358210382150721538
939,1358210383518064643
940,1358210383874465793
941,1358210388093976578
942,1358210392409837570
943,1358210393764691971
944,1358210394632970240
945,1358210417533865987
946,1358210432402604041
947,1358210466204459009
948,1358210467647356928
949,1358210474261831681
950,1358210480792358918
951,1358210510374723585
952,1358210512979255297
953,1358210534487822341
954,1358210572978769922
955,1358210581166125056
956,1358210581661114371
957,1358210591790276608
958,1358210598958366722
959,1358210605916643336
960,1358210621142097921
961,1358210626821128192
962,1358210631476924420
963,1358210645091573760
964,1358210646421213188
965,1358210648212205569
966,1358210667753390081
967,1358210669989031937
968,1358210672572702721
969,1358210673478688769
970,1358210675705843717
971,1358210676964089864
972,1358210679774281730
973,1358210686166433795
974,1358210687852503042
975,1358210687630204932
976,1358210711604838401
977,1358210718915571714
978,1358210733222338560
979,1358210734845485057
980,1358210743175421954
981,1358210743468924930
982,1358210754684596225
983,1358210762876018689
984,1358210769385496576
985,1358210772241960963
986,1358210785663664129
987,1358210858883506176
988,1358210869268606976
989,1358210871177084928
990,1358210877673992193
991,1358210886922604548
992,1358210889808281600
993,1358210891708268544
994,1358210892392001536
995,1358210907835367430
996,1358210909668339712
997,1358210918279122946
998,1358210945034690565
999,1358210945517027329
1000,1358210950462021632
1001,1358210954689847296
1002,1358210958284320768
1003,1358210963523141641
1004,1358210967444856833
1005,1358211000533712898
1006,1358211006191706112
1007,1358211008016261121
1008,1358211017705213952
1009,1358211027335335937
1010,1358211028698476548
1011,1358211031533670401
1012,1358211033903620096
1013,1358211053469974528
1014,1358211061133017089
1015,1358211064010268672
1016,1358211064643670016
1017,1358211077557915651
1018,1358211077528510466
1019,1358211080275730434
1020,1358211092946837508
1021,1358211132092162048
1022,1358211144037634056
1023,1358211145547591680
1024,1358211150446477317
1025,1358211155219648518
1026,1358211162513498112
1027,1358211162597376000
1028,1358211166972051456
1029,1358211167748050944
1030,1358211187767394307
1031,1358211189159854082
1032,1358211189315149824
1033,1358211190934102016
1034,1358211216653565954
1035,1358211229039415296
1036,1358211242415054849
1037,1358211248974929921
1038,1358211255476105226
1039,1358211260366602242
1040,1358211260932907009
1041,1358211261146689536
1042,1358211261939544067
1043,1358211261754986497
1044,1358211266280624134
1045,1358211269866606592
1046,1358211280880865280
1047,1358211283858915334
1048,1358211317186887686
1049,1358211317216198656
1050,1358211326414323712
1051,1358211328243101696
1052,1358211337709576196
1053,1358211340704354304
1054,1358211341736153089
1055,1358211344382754834
1056,1358211349642362881
1057,1358211361940008963
1058,1358211362573451266
1059,1358211369946996737
1060,1358211372564303882
1061,1358211372572545027
1062,1358211372820013056
1063,1358211372748709888
1064,1358211372518166528
1065,1358211373126348800
1066,1358211373642047495
1067,1358211373784723456
1068,1358211374413996032
1069,1358211374095155210
1070,1358211374518779907
1071,1358211373826592769
1072,1358211374955044866
1073,1358211375143784453
1074,1358211377660313605
1075,1358211380013318144
1076,1358211380130766851
1077,1358211381737246723
1078,1358211382609608704
1079,1358211384123789312
1080,1358211385981812738
1081,1358211391480426497
1082,1358211393871179776
1083,1358211402234818565
1084,1358211407972548610
1085,1358211408769519616
1086,1358211409251889153
1087,1358211411348914176
1088,1358211415576838144
1089,1358211415652388866
1090,1358211419376930817
1091,1358211419469135872
1092,1358211423999000584
1093,1358211426926678016
1094,1358211430114328583
1095,1358211433268355075
1096,1358211436988751873
1097,1358211468211216384
1098,1358211478625656834
1099,1358211491955003393
1100,1358211497642647555
1101,1358211497936183299
1102,1358211507138494465
1103,1358211512431742983
1104,1358211532216295426
1105,1358211530328735745
1106,1358211550327279617
1107,1358211569260314624
1108,1358211586515730434
1109,1358211624226627584
1110,1358211624474054656
1111,1358211630316806144
1112,1358211636109139968
1113,1358211647949606913
1114,1358211653628801030
1115,1358211694057635841
1116,1358211709203148800
1117,1358211712441348097
1118,1358211716392226821
1119,1358211731974070277
1120,1358211740702568449
1121,1358211745567932416
1122,1358211748424278019
1123,1358211764458905600
1124,1358211765037916163
1125,1358211764857434112
1126,1358211772570771462
1127,1358211779151732736
1128,1358211784386183168
1129,1358211786969911297
1130,1358211800500752384
1131,1358211801343610882
1132,1358211819769192448
1133,1358211824932564992
1134,1358211825482027015
1135,1358211875658485761
1136,1358211884516864001
1137,1358211886521663492
1138,1358211887150878720
1139,1358211894494990336
1140,1358211900958519296
1141,1358211903282176002
1142,1358211921950957568
1143,1358211946957447171
1144,1358211947586486274
1145,1358211958873284608
1146,1358212002313695233
1147,1358212004356517889
1148,1358212011205685248
1149,1358212015752364032
1150,1358212026791780352
1151,1358212029635571712
1152,1358212031921475591
1153,1358212060400799746
1154,1358212065702391819
1155,1358212077291241472
1156,1358212080034144258
1157,1358212080260706304
1158,1358212084362842115
1159,1358212091610562560
1160,1358212092126498818
1161,1358212093317578752
1162,1358212095100256263
1163,1358212098371825665
1164,1358212112502382596
1165,1358212116516270089
1166,1358212117065785344
1167,1358212127388008451
1168,1358212130869305345
1169,1358212133360705536
1170,1358212134031745024
1171,1358212137823436805
1172,1358212140071481344
1173,1358212148384698373
1174,1358212153602433025
1175,1358212157821886468
1176,1358212161458368515
1177,1358212181460832257
1178,1358212189627293706
1179,1358212223181684740
1180,1358212235072581632
1181,1358212236892753922
1182,1358212240223186944
1183,1358212243683377153
1184,1358212258741055488
1185,1358212258820726784
1186,1358212278810669056
1187,1358212292748468232
1188,1358212307835305984
1189,1358212319252271107
1190,1358212320976109568
1191,1358212336138346496
1192,1358212339821076481
1193,1358212350692765708
1194,1358212368988139520
1195,1358212375430615040
1196,1358212376617713665
1197,1358212379373432832
1198,1358212381244092418
1199,1358212381655056384
1200,1358212389573959680
1201,1358212408947445760
1202,1358212409127821318
1203,1358212420330803200
1204,1358212423187062786
1205,1358212425875677185
1206,1358212467747393538
1207,1358212479487275008
1208,1358212483459256320
1209,1358212490425950211
1210,1358212502857764866
1211,1358212503596064768
1212,1358212504736788481
1213,1358212508918681601
1214,1358212518770999296
1215,1358212522306916354
