,id_str
0,1346969799037833217
1,1346969799247716353
2,1346969799281283074
3,1346969799323123712
4,1346969799763615745
5,1346969799604269056
6,1346969799767764992
7,1346969799797202945
8,1346969800837251080
9,1346969800803835904
10,1346969800845783042
11,1346969800807878659
12,1346969800887705602
13,1346969801235681280
14,1346969801323810817
15,1346969801151811584
16,1346969801164353536
17,1346969801760112642
18,1346969805035810816
19,1346969805190926337
20,1346969805610307584
21,1346969807997071360
22,1346969811151187969
23,1346969811532787715
24,1346969812078010369
25,1346969812929449984
26,1346969815630503938
27,1346969816255631362
28,1346969820617699328
29,1346969821292990465
30,1346969821569814529
31,1346969824371609600
32,1346969825206296577
33,1346969825717882880
34,1346969826372296705
35,1346969829681422336
36,1346969832143552518
37,1346969834156916737
38,1346969835952074754
39,1346969839810666497
40,1346969840448372741
41,1346969840121241600
42,1346969840611950599
43,1346969841635352577
44,1346969841920397315
45,1346969840326742016
46,1346969842465689600
47,1346969841702473728
48,1346969845125013504
49,1346969845464657921
50,1346969848497238016
51,1346969852397801473
52,1346969854306361347
53,1346969854935498752
54,1346969854914473984
55,1346969860862058505
56,1346969863865184260
57,1346969863990874116
58,1346969877928546312
59,1346969884786380801
60,1346969888431214593
61,1346969891077828613
62,1346969899227357184
63,1346969899986542593
64,1346969899839614977
65,1346969901659992065
66,1346969905137020928
67,1346969913064214530
68,1346969917136973824
69,1346969919162773504
70,1346969918886055941
71,1346969919708164096
72,1346969927186526208
73,1346969927471804417
74,1346969930227281921
75,1346969930558795784
76,1346969931959603203
77,1346969932689510401
78,1346969932517560322
79,1346969934631473152
80,1346969938016296960
81,1346969941350567937
82,1346969942781026304
83,1346969943795855361
84,1346969945234526208
85,1346969948858568704
86,1346969955888058370
87,1346969964482162689
88,1346969966478643200
89,1346969968928239616
90,1346969972082413568
91,1346969978969485315
92,1346969982677233664
93,1346969982656253958
94,1346969990587670531
95,1346969992177348608
96,1346969993448185857
97,1346969993951506434
98,1346969994006032386
99,1346969999114645507
100,1346970000310022146
101,1346970002763649028
102,1346970018400133122
103,1346970024926449666
104,1346970028541837312
105,1346970029150138371
106,1346970033201827843
107,1346970034669826050
108,1346970037194657793
109,1346970038457171968
110,1346970044878778374
111,1346970045620973569
112,1346970052206190597
113,1346970054282326017
114,1346970055955910657
115,1346970056190611460
116,1346970062419202052
117,1346970063291744256
118,1346970071063621636
119,1346970074524086272
120,1346970076113616898
121,1346970077527232512
122,1346970087841017857
123,1346970089141243906
124,1346970094623051776
125,1346970102630019072
126,1346970102835515393
127,1346970108116176898
128,1346970112864235520
129,1346970125623316480
130,1346970126445211650
131,1346970128286703616
132,1346970130203467777
133,1346970131088330754
134,1346970140429193222
135,1346970142782222338
136,1346970144199864323
137,1346970148549373959
138,1346970148704559104
139,1346970148817625088
140,1346970148343787522
141,1346970150571024384
142,1346970150587740162
143,1346970152051515398
144,1346970154509365251
145,1346970157231595527
146,1346970161241210880
147,1346970165456629763
148,1346970165737611266
149,1346970165892632576
150,1346970166731665410
151,1346970166869966849
152,1346970166916120577
153,1346970167109181443
154,1346970171882160133
155,1346970173807292416
156,1346970174386221056
157,1346970175195598849
158,1346970176516886530
159,1346970176630235145
160,1346970182690992139
161,1346970190932824065
162,1346970191188480000
163,1346970195592577025
164,1346970208255180803
165,1346970208301326342
166,1346970209878503424
167,1346970211329531904
168,1346970214206988288
169,1346970219382677504
170,1346970229725917188
171,1346970232758276097
172,1346970233752453120
173,1346970241620996096
174,1346970245727100928
175,1346970247723704321
176,1346970248373796864
177,1346970248864432128
178,1346970249837465600
179,1346970257974444036
180,1346970259253649412
181,1346970263716507650
182,1346970271450886144
183,1346970271987634178
184,1346970272423845888
185,1346970283312349184
186,1346970292858593280
187,1346970294750216192
188,1346970297702916099
189,1346970297954689025
190,1346970298764169216
191,1346970303323385856
192,1346970306309718016
193,1346970306720763904
194,1346970307639304192
195,1346970313549033473
196,1346970313993691141
197,1346970317680373762
198,1346970318003437569
199,1346970318385123328
200,1346970320293527552
201,1346970320519892995
202,1346970326819737601
203,1346970327025381376
204,1346970328375951367
205,1346970329508315136
206,1346970331261505537
207,1346970338182107139
208,1346970342720479233
209,1346970343609536517
210,1346970347984334850
211,1346970349116784642
212,1346970350127632386
213,1346970350391865347
214,1346970351373176833
215,1346970355110449153
216,1346970364279078913
217,1346970369090060288
218,1346970372080619522
219,1346970372684476425
220,1346970374387294208
221,1346970387712794624
222,1346970388279021570
223,1346970388471836673
224,1346970392116686848
225,1346970397095428101
226,1346970403512713218
227,1346970405982982147
228,1346970407056773120
229,1346970409187606530
230,1346970410009702401
231,1346970417500545034
232,1346970434269556741
233,1346970441802424322
234,1346970444717465600
235,1346970450790907904
236,1346970450056728581
237,1346970457971466240
238,1346970465437364226
239,1346970468830629888
240,1346970472425013251
241,1346970475457515521
242,1346970479706435586
243,1346970481610645508
244,1346970486694162433
245,1346970496836005891
246,1346970499348373508
247,1346970502393257985
248,1346970502917722118
249,1346970514506465282
250,1346970516763107337
251,1346970523029426183
252,1346970526217097217
253,1346970528200855554
254,1346970542084026372
255,1346970544424570889
256,1346970548761485312
257,1346970550090964992
258,1346970554411134982
259,1346970560849436673
260,1346970569820934151
261,1346970569548427266
262,1346970570588643333
263,1346970572291338242
264,1346970571414843395
265,1346970578821910531
266,1346970588535918595
267,1346970611801747461
268,1346970616134463490
269,1346970617296244736
270,1346970619808800768
271,1346970621616422914
272,1346970622044172288
273,1346970630328115207
274,1346970630898462721
275,1346970634530656259
276,1346970638821388289
277,1346970639026933760
278,1346970643749867520
279,1346970643997319168
280,1346970646195171328
281,1346970648002883585
282,1346970649625993216
283,1346970655296692227
284,1346970657603641344
285,1346970660820688896
286,1346970662632611841
287,1346970667095191552
288,1346970668659736578
289,1346970673659437062
290,1346970682178101250
291,1346970684384178179
292,1346970691719974914
293,1346970696652627970
294,1346970706924474369
295,1346970713903783938
296,1346970720308490240
297,1346970725765283840
298,1346970728151744513
299,1346970739035967489
300,1346970740776693767
301,1346970745243639810
302,1346970747441471490
303,1346970753296523265
304,1346970754408042498
305,1346970756572442630
306,1346970760993144832
307,1346970765485346817
308,1346970767481716737
309,1346970777715879936
310,1346970783294377985
311,1346970785093660672
312,1346970787505324033
313,1346970787446591488
314,1346970788725981186
315,1346970791393386503
316,1346970792177721345
317,1346970792840605696
318,1346970796862763014
319,1346970803297001473
320,1346970805448495105
321,1346970806476161025
322,1346970807168356352
323,1346970806832738306
324,1346970809814814722
325,1346970811291164673
326,1346970816903262210
327,1346970817968660483
328,1346970818929065986
329,1346970818975199235
330,1346970819042418695
331,1346970819054989312
332,1346970820376104964
333,1346970821118599179
334,1346970821789536256
335,1346970821940580352
336,1346970826856284169
337,1346970827582017538
338,1346970828991328256
339,1346970833693134849
340,1346970835710578688
341,1346970835735687176
342,1346970836050317315
343,1346970837845499906
344,1346970838969450496
345,1346970839351234562
346,1346970839636299782
347,1346970841800531969
348,1346970845776924674
349,1346970846112346116
350,1346970854043762692
351,1346970856916983814
352,1346970860326801408
353,1346970865510932482
354,1346970868757442562
355,1346970869034348545
356,1346970870112276482
357,1346970870040944640
358,1346970872557539328
359,1346970875673812992
360,1346970875980079108
361,1346970877708042242
362,1346970879830487041
363,1346970882397364225
364,1346970882690985990
365,1346970888768421891
366,1346970889233989635
367,1346970893302583298
368,1346970894351130625
369,1346970896918052864
370,1346970904681738245
371,1346970905868599296
372,1346970918547988482
373,1346970920296931331
374,1346970936440991756
375,1346970938705903616
376,1346970940777902083
377,1346970941163651072
378,1346970943311155200
379,1346970948877111297
380,1346970951930490880
381,1346970954543427586
382,1346970956242145284
383,1346970956531519490
384,1346970963745898496
385,1346970967948591104
386,1346970975271866368
387,1346970977247363072
388,1346970988832038914
389,1346970989419106308
390,1346970991084376066
391,1346970991281451011
392,1346971001762979842
393,1346971002610319361
394,1346971004766138369
395,1346971013821693954
396,1346971021476245508
397,1346971028547891200
398,1346971034369495043
399,1346971035053281280
400,1346971035359277058
401,1346971038001876992
402,1346971041160171521
403,1346971041848057856
404,1346971042003120130
405,1346971042745622529
406,1346971044826017794
407,1346971056158900225
408,1346971056310005761
409,1346971057094328322
410,1346971057215987712
411,1346971061393514499
412,1346971067366002692
413,1346971069270302721
414,1346971069777805313
415,1346971070428020736
416,1346971071799549953
417,1346971072063746053
418,1346971072575389700
419,1346971074576085000
420,1346971076425867264
421,1346971076732059651
422,1346971077142999043
423,1346971078917238784
424,1346971079177338880
425,1346971081689559042
426,1346971083115696132
427,1346971083543601156
428,1346971093207158787
429,1346971093618327554
430,1346971099095945216
431,1346971099712671744
432,1346971105056194560
433,1346971106889113603
434,1346971114874966018
435,1346971116565368832
436,1346971118146625537
437,1346971118201090050
438,1346971123150434312
439,1346971133816442880
440,1346971134533595138
441,1346971142079143938
442,1346971145430437897
443,1346971145833164800
444,1346971148806881280
445,1346971150614581252
446,1346971157933780995
447,1346971159246499842
448,1346971160169377794
449,1346971161234534403
450,1346971167257743360
451,1346971174660694017
452,1346971182134947842
453,1346971184760463362
454,1346971213277646848
455,1346971221527695363
456,1346971228096004096
457,1346971233577967616
458,1346971234253344769
459,1346971238871097346
460,1346971243178721280
461,1346971247922524160
462,1346971253102415872
463,1346971258395754496
464,1346971264628498433
465,1346971279564431362
466,1346971281464299520
467,1346971285037993986
468,1346971286413701121
469,1346971293955072005
470,1346971305329872896
471,1346971309121572864
472,1346971311386497026
473,1346971311516622849
474,1346971313680871424
475,1346971315387969539
476,1346971319351484417
477,1346971330382585863
478,1346971331129004038
479,1346971331548442626
480,1346971334912266240
481,1346971340314710016
482,1346971344051736579
483,1346971347235319809
484,1346971349152124929
485,1346971351387500546
486,1346971351664492546
487,1346971360929533952
488,1346971363941224448
489,1346971368907104259
490,1346971371050389510
491,1346971372585590784
492,1346971378658856962
493,1346971384568819714
494,1346971395633278980
495,1346971405531770882
496,1346971419633135616
497,1346971420962680833
498,1346971424360173568
499,1346971426176294913
500,1346971426193088513
501,1346971427451256836
502,1346971427778535424
503,1346971430508924928
504,1346971440357072897
505,1346971448632614912
506,1346971450540920832
507,1346971459403591685
508,1346971459642662914
509,1346971461123235840
510,1346971464788893699
511,1346971475127934976
512,1346971489665339396
513,1346971494140817409
514,1346971495986323456
515,1346971500511838210
516,1346971504077111297
517,1346971505826160640
518,1346971510171439104
519,1346971525719625728
520,1346971535605592065
521,1346971544413618178
522,1346971546758361088
523,1346971547680927749
524,1346971547794366464
525,1346971551133016069
526,1346971551531479041
527,1346971555029516289
528,1346971560494600195
529,1346971560578490369
530,1346971560553299983
531,1346971568426123264
532,1346971570804178944
533,1346971571601231874
534,1346971573140512768
535,1346971578035277836
536,1346971581382184967
537,1346971588839632897
538,1346971590928396291
539,1346971594028167174
540,1346971595567362057
541,1346971608943120385
542,1346971613028298756
543,1346971616643862529
544,1346971626873655297
545,1346971633118892032
546,1346971635971051520
547,1346971637560659973
548,1346971641218142208
549,1346971641365069824
550,1346971643382530050
551,1346971646452588546
552,1346971648348594179
553,1346971662630203393
554,1346971667839512576
555,1346971668779053059
556,1346971684906131457
557,1346971692988571648
558,1346971697497325568
559,1346971697233096704
560,1346971701444304896
561,1346971701557522432
562,1346971702710972416
563,1346971704963293184
564,1346971707362340865
565,1346971708151001088
566,1346971709815967747
567,1346971717634150400
568,1346971734566572035
569,1346971735682256896
570,1346971735875330048
571,1346971738123378688
572,1346971740111478785
573,1346971741415903234
574,1346971753810067457
575,1346971755638902787
576,1346971757475995648
577,1346971757903712260
578,1346971761276035072
579,1346971771434459136
580,1346971777549930497
581,1346971786328604676
582,1346971793970634755
583,1346971805081358337
584,1346971805366460417
585,1346971806620545028
586,1346971813054713858
587,1346971813171978240
588,1346971816024297474
589,1346971821900394497
590,1346971823917780992
591,1346971824987406336
592,1346971826291838978
593,1346971828133089283
594,1346971833061539843
595,1346971832843456513
596,1346971833707462658
597,1346971834479235073
598,1346971835942936582
599,1346971838082027520
600,1346971843190681601
601,1346971843824148481
602,1346971847028576257
603,1346971848383336455
604,1346971855509340161
605,1346971856981602304
606,1346971868612456449
607,1346971879723175937
608,1346971882784870400
609,1346971883124699138
610,1346971891014258688
611,1346971897041358848
612,1346971898698059776
613,1346971924388335619
614,1346971925025751040
615,1346971929941405698
616,1346971948241268738
617,1346971951944892417
618,1346971958479630338
619,1346971964146032646
620,1346971977370619908
621,1346971979669151744
622,1346971981607006213
623,1346971982101884928
624,1346971985612566529
625,1346971996781998083
626,1346971999143419910
627,1346972012363714561
628,1346972014398070785
629,1346972016260255744
630,1346972020609675266
631,1346972042206138372
632,1346972047650394112
633,1346972051236646913
634,1346972062594736129
635,1346972064050278401
636,1346972064427761664
637,1346972066411646981
638,1346972066415665153
639,1346972071612526592
640,1346972074703790080
641,1346972078763896833
642,1346972082903646222
643,1346972084077883392
644,1346972093909524480
645,1346972096245755905
646,1346972097134948353
647,1346972107964518400
648,1346972111127117825
649,1346972114809548801
650,1346972121164079104
651,1346972123047350273
652,1346972125991755779
653,1346972126683615232
654,1346972132375474176
655,1346972135047258113
656,1346972146745151489
657,1346972148129259528
658,1346972148305436672
659,1346972149962084352
660,1346972151006580736
661,1346972153296551939
662,1346972161173499904
663,1346972170266804227
664,1346972179984953348
665,1346972188411363331
666,1346972189073969152
667,1346972192286892032
668,1346972200201580546
669,1346972202294538241
670,1346972203817050112
671,1346972208334254082
672,1346972217800843264
673,1346972220334108673
674,1346972223383293953
675,1346972237950291973
676,1346972239351209984
677,1346972239749668866
678,1346972240907268098
679,1346972248922615814
680,1346972256942104578
681,1346972263246127109
682,1346972266052009986
683,1346972282040709122
684,1346972287640207360
685,1346972302718636034
686,1346972303326900225
687,1346972306904653825
688,1346972313133207553
689,1346972314152407045
690,1346972315599441927
691,1346972315553312768
692,1346972315628793856
693,1346972315700109314
694,1346972315674931200
695,1346972319768432642
696,1346972322545111046
697,1346972325837680640
698,1346972326148009984
699,1346972327297175553
700,1346972327754526723
701,1346972328039747586
702,1346972327825657857
703,1346972330166267904
704,1346972333286846464
705,1346972342082293761
706,1346972343013412864
707,1346972343931973634
708,1346972347715231747
709,1346972373736693765
710,1346972374105616384
711,1346972389440155650
712,1346972391604420611
713,1346972398352941057
714,1346972399904776196
715,1346972401091956737
716,1346972403117809664
717,1346972403524653057
718,1346972406125125640
719,1346972406968180737
720,1346972422197575682
721,1346972428312997893
722,1346972428539371521
723,1346972433534824449
724,1346972436663820290
725,1346972444045803523
726,1346972451243233282
727,1346972452912508933
728,1346972455361982465
729,1346972457626865668
730,1346972466120421377
731,1346972467206770689
732,1346972479718387713
733,1346972486982897664
734,1346972488014524419
735,1346972490367721472
736,1346972490636156936
737,1346972490619183115
738,1346972492682858501
739,1346972499007819778
740,1346972507283197952
741,1346972508256395264
742,1346972515017650178
743,1346972525620842500
744,1346972527214489603
745,1346972532910514179
746,1346972539176841218
