,id_str
0,1419809761659428864
1,1419809765962694663
2,1419809765501325313
3,1419809774389006339
4,1419809778822488070
5,1419809778814132235
6,1419809782421233674
7,1419809783167676417
8,1419809783255810053
9,1419809791342366720
10,1419809791015276547
11,1419809795205369875
12,1419809816046968832
13,1419809816399257605
14,1419809816705392642
15,1419809816789360643
16,1419809821021413381
17,1419809824733270018
18,1419809829007339524
19,1419809829019869186
20,1419809829003071491
21,1419809837689581572
22,1419809841489534977
23,1419809841426616324
24,1419809846304595972
25,1419809854437298180
26,1419809871000596486
27,1419809875094392833
28,1419809900285231104
29,1419809900352450560
30,1419809916479590407
31,1419809937744703491
32,1419809946485592064
33,1419809946787586052
34,1419809946749870080
35,1419809959152345095
36,1419809963246039042
37,1419809984443998209
38,1419810004350251009
39,1419810022280863751
40,1419810026429030409
41,1419810038491779072
42,1419810047043858434
43,1419810047392026624
44,1419810063749771268
45,1419810068535644166
46,1419810073073704961
47,1419810097992245248
48,1419810101662298119
49,1419810118418542594
50,1419810118871379970
51,1419810138874019844
52,1419810137636696065
53,1419810140014870529
54,1419810152081813507
55,1419811234057228288
56,1419811242550628357
57,1419811242831536128
58,1419811247227346949
59,1419811267787821060
60,1419811276113555461
61,1419811284426629121
62,1419811289040265225
63,1419811330832408579
64,1419811343289528326
65,1419811351468265477
66,1419811398260039685
67,1419811402655551495
68,1419811414655455234
69,1419811427544535045
70,1419811435555733507
71,1419811442912632834
72,1419811464601288712
73,1419811485870698496
74,1419811515520126977
75,1419811528161779720
76,1419811531798335489
77,1419811540488933384
78,1419811544855158787
79,1419811548923678727
80,1419811556603269127
81,1419811565772148737
82,1419811582154969088
83,1419811582075408384
84,1419811582620536833
85,1419811595065053184
86,1419811603273367553
87,1419811603717963776
88,1419811615688564747
89,1419811620344279059
90,1419811633077964802
91,1419811636827803652
92,1419811641013723139
93,1419811661691727872
94,1419811666452262915
95,1419811670730452993
96,1419811690569510912
97,1419811708218974209
98,1419811721095487489
99,1419811733087076353
100,1419811741505044484
101,1419811745586106373
102,1419811763302944776
103,1419811770936532992
104,1419811771041341444
105,1419811771280461824
106,1419811775193788416
107,1419811779362889729
108,1419811779677495304
109,1419811779887124481
110,1419811787856392203
111,1419811796215496705
112,1419811800099528704
113,1419811825454096386
114,1419811846404689921
115,1419811850846277633
116,1419811850968092672
117,1419811854751346693
118,1419811863529938946
119,1419811876037222401
120,1419811888389578755
121,1419811896581107713
122,1419811896648249346
123,1419811917678276611
124,1419811922149617671
125,1419811922271252480
126,1419811934652833796
127,1419811938800787457
128,1419811938272301059
129,1419811946879086596
130,1419811951748673540
131,1419811963991957509
132,1419811972456095746
133,1419812001426120709
134,1419812001967128581
135,1419812014210240513
136,1419812014499696642
137,1419812014713544707
138,1419812022561148931
139,1419812035341307904
140,1419813029408120835
141,1419813059258765312
142,1419813071158091776
143,1419813071132921859
144,1419813071564984323
145,1419813104309850113
146,1419813108848074758
147,1419813121267437569
148,1419813142947794944
149,1419813151198130184
150,1419813214041247749
151,1419813213999411201
152,1419813226758516754
153,1419813239056125955
154,1419813243221159943
155,1419813259582967810
156,1419813301849108480
157,1419813301773475843
158,1419813314952105984
159,1419813331712491525
160,1419813331980865546
161,1419813335403466755
162,1419813369025110018
163,1419813377677856768
164,1419813385693245440
165,1419813389921103878
166,1419813402445242369
167,1419813411202899968
168,1419813424058576900
169,1419813427539816452
170,1419813432136716291
171,1419813477955342336
172,1419813478152429576
173,1419813482350792704
174,1419813491133792260
175,1419813494707298305
176,1419813494749241345
177,1419813515788005376
178,1419813520179347459
179,1419813528433827842
180,1419813528395915289
181,1419813536990171143
182,1419813545022300163
183,1419813544896389121
184,1419813549153558531
185,1419813583224033280
186,1419813595341152265
187,1419813604140912643
188,1419813604480663555
189,1419813608062599174
190,1419813612709769221
191,1419813654451695623
192,1419813687850905603
193,1419813729995157505
194,1419813730242547712
195,1419813730465034241
196,1419813738400649217
197,1419813767521574915
198,1419813771648901124
199,1419813775658602500
200,1419813779668303872
201,1419813792825761792
202,1419813792716771332
203,1419813793178193925
204,1419813800270864385
205,1419813805291360257
206,1419813813738688512
207,1419813817794514947
208,1419813822110396416
209,1419813843027611648
210,1419813863696961542
211,1419813864259170317
212,1419813867945930753
213,1419813868595924999
214,1419813872450560000
215,1419814822129045504
216,1419814824393859073
217,1419814828546342913
218,1419814833218723842
219,1419814841624272897
220,1419814841649438728
221,1419814845604671501
222,1419814850197286916
223,1419814853787717634
224,1419814866148265984
225,1419814866341318667
226,1419814866475421698
227,1419814883407826945
228,1419814887711150083
229,1419814908582039555
230,1419814929750761476
231,1419814938235768832
232,1419814942228852744
233,1419814945789722625
234,1419814963078594562
235,1419815000366006282
236,1419815021492805632
237,1419815021727690761
238,1419815038605463553
239,1419815046738321408
240,1419815055512817667
241,1419815084323344384
242,1419815093311729664
243,1419815097522823172
244,1419815105487949825
245,1419815105475264513
246,1419815105328336898
247,1419815105676472321
248,1419815118225907713
249,1419815126333632529
250,1419815131190636553
251,1419815147393191936
252,1419815147384627201
253,1419815164178690052
254,1419815172009455618
255,1419815185322229763
256,1419815197892653075
257,1419815201973710855
258,1419815223171579906
259,1419815235440025601
260,1419815243979558917
261,1419815273536704516
262,1419815286148984836
263,1419815294566944768
264,1419815298505617417
265,1419815303035359234
266,1419815319439388684
267,1419815336220794886
268,1419815340435984389
269,1419815357477376002
270,1419815361298374656
271,1419815360618971138
272,1419815369875787776
273,1419815369825525761
274,1419815374099468288
275,1419815378214133763
276,1419815378293821441
277,1419815382416756737
278,1419815386288168963
279,1419815390641799169
280,1419815390717399041
281,1419815395440087047
282,1419815412070424577
283,1419815415748853761
284,1419815428533198849
285,1419815433016729603
286,1419815433125957632
287,1419815437190057986
288,1419815457616326656
289,1419815458182770700
290,1419815491397423105
291,1419815499672793090
292,1419815520740708352
293,1419815545927471104
294,1419815549933084672
295,1419815559013744642
296,1419815562352472065
297,1419815562603950082
298,1419815567167418374
299,1419815583718150147
300,1419815588294270978
301,1419815600541474817
302,1419815600545837057
303,1419815604664422404
304,1419815609127247876
305,1419815612914745344
306,1419815616999923717
307,1419815638080557060
308,1419815638160261122
309,1419815646691430402
310,1419815650298576898
311,1419815651070423040
312,1419816707787399169
313,1419816711860195329
314,1419816720378867716
315,1419816724355063808
316,1419816741853704205
317,1419816766998519811
318,1419816783549243392
319,1419816796018724868
320,1419816808337616902
321,1419816808689946627
322,1419816821260267520
323,1419816824976314370
324,1419816825353736194
325,1419816837639020544
326,1419816841854308352
327,1419816842210648068
328,1419816862603481089
329,1419816875437871105
330,1419816896032018437
331,1419816909000912910
332,1419816921650933765
333,1419816921927671810
334,1419816938562224130
335,1419816951262564356
336,1419816980912168961
337,1419816984741621760
338,1419817005964791808
339,1419817009714372620
340,1419817035257847817
341,1419817039242272770
342,1419817043185000448
343,1419817043344297989
344,1419817047307997186
345,1419817047953788929
346,1419817051720327175
347,1419817059886804992
348,1419817068262830087
349,1419817068631891968
350,1419817072612233216
351,1419817072532639752
352,1419817072754712576
353,1419817072759017474
354,1419817072956256257
355,1419817077125304323
356,1419817080774447104
357,1419817089557217283
358,1419817114618277898
359,1419817118615343106
360,1419817122725830656
361,1419817122977378307
362,1419817169475473408
363,1419817177268424706
364,1419817182062514184
365,1419817186055671816
366,1419817194280472576
367,1419817202664972289
368,1419817206725087232
369,1419817222894141440
370,1419817231890923522
371,1419817240866828298
372,1419817248705982480
373,1419817253055483908
374,1419817278116306951
375,1419817303194148867
376,1419817307283460101
377,1419817311519744004
378,1419817311582707714
379,1419817315747581954
380,1419817319904153600
381,1419817320143368204
382,1419817320067870723
383,1419817328443904003
384,1419817328087379974
385,1419817336975020035
386,1419817341018415104
387,1419817341597233155
388,1419817349310464001
389,1419817349885071360
390,1419817353680990210
391,1419817357678194700
392,1419817357464129538
393,1419817358085042190
394,1419817361461370880
395,1419817362161819648
396,1419817366289014785
397,1419817379383582721
398,1419817383280234500
399,1419817383284281347
400,1419817391328948225
401,1419817407967756289
402,1419817412757647363
403,1419817421121142787
404,1419817424950530048
405,1419817425030328330
406,1419817425113997315
407,1419817433095974919
408,1419817433322463235
409,1419817441878843392
410,1419817446056267776
411,1419817471012442116
412,1419817471104536576
413,1419817483649921043
414,1419817492298575893
415,1419817504264769537
416,1419817513144176645
417,1419817513504944129
418,1419817517782949888
419,1419817525768986624
420,1419817529598517256
421,1419817529548103680
422,1419817542374223873
423,1419817546648281090
424,1419817555066200065
425,1419817571919015938
426,1419817579942604800
427,1419817601690001409
428,1419817605095952384
429,1419818750262480898
430,1419818755044020226
431,1419818767039729672
432,1419818767534624769
433,1419818775403171840
434,1419818775755456516
435,1419818788409647108
436,1419818792386015240
437,1419818804935233540
438,1419818809297448988
439,1419818825734713345
440,1419818851064324099
441,1419818855162130438
442,1419818867765891072
443,1419818871901413376
444,1419818876276289542
445,1419818876657876992
446,1419818896740298767
447,1419818905443487745
448,1419818909587451906
449,1419818938968408064
450,1419818943599022083
451,1419818955678572544
452,1419818960036450304
453,1419818968475443203
454,1419818972355170305
455,1419818972866777091
456,1419818977459544068
457,1419818985365950464
458,1419818989442662400
459,1419819073458876420
460,1419819078005440514
461,1419819090135461898
462,1419819090466811907
463,1419819098742173698
464,1419819098796544001
465,1419819098859393029
466,1419819098717007884
467,1419819098926628869
468,1419819102902931457
469,1419819102852591638
470,1419819107105624072
