,id_str
0,1405314738486231042
1,1405314767225458692
2,1405314767284162562
3,1405314771726000128
4,1405314771742826498
5,1405314817938886657
6,1405314826340024321
7,1405314826415525890
8,1405314826457387012
9,1405314839355047936
10,1405314846976090113
11,1405314851459661830
12,1405314851388334081
13,1405314863769870338
14,1405314876457824258
15,1405314885014233089
16,1405314888981954562
17,1405314902252687360
18,1405314939590434817
19,1405314969260855297
20,1405314973077696515
21,1405314981311270915
22,1405314981546053635
23,1405314990060589061
24,1405314997853462528
25,1405315006388834306
26,1405315006468661252
27,1405315015205343239
28,1405315019210952704
29,1405315023447150600
30,1405315031764553730
31,1405315056938754052
32,1405315073976029188
33,1405315090358886401
34,1405315094330884097
35,1405315106997686274
36,1405315132574486530
37,1405315149523828737
38,1405315157446832129
39,1405315199775641600
40,1405315203571453952
41,1405315204024578048
42,1405315237264257024
43,1405315245598408706
44,1405315262669377539
45,1405315266951720964
46,1405315266955841538
47,1405315275071758341
48,1405315295745544192
49,1405315321104322562
50,1405315338024230916
51,1405315341849403392
52,1405315354918678528
53,1405315359272443906
54,1405315371825958915
55,1405315380000796675
56,1405315392210444289
57,1405315401337262082
58,1405315404835217409
59,1405315413517373440
60,1405315443091546113
61,1405316053274484737
62,1405316063638786056
63,1405316071977070595
64,1405316072207695872
65,1405316076141940736
66,1405316076527882240
67,1405316092617183234
68,1405316091824513026
69,1405316113651535875
70,1405316147789000704
71,1405316160283832322
72,1405316168236208130
73,1405316180886294529
74,1405316184397041666
75,1405316193565696004
76,1405316193834127364
77,1405316205439864837
78,1405316214256197640
79,1405316218714836992
80,1405316218802765824
81,1405316226956464130
82,1405316230962102273
83,1405316231863803906
84,1405316239690448896
85,1405316248133636098
86,1405316256702533634
87,1405316260380905479
88,1405316269314879488
89,1405316277325893632
90,1405316285869686784
91,1405316286259757056
92,1405316290449924098
93,1405316294535270403
94,1405316328060301317
95,1405316344065757185
96,1405316369864867849
97,1405316382141534211
98,1405316382162489344
99,1405316390807027713
100,1405316394988752898
101,1405316395290796032
102,1405316407630479366
103,1405316416073605121
104,1405316441486864384
105,1405316445123141638
106,1405316453373521923
107,1405316457152630786
108,1405316491654754309
109,1405316491793235969
110,1405316499955503106
111,1405316503881322506
112,1405316532960333824
113,1405316537511297024
114,1405316554187702275
115,1405316554431119362
116,1405316558449225728
117,1405316575268323339
118,1405316579538214921
119,1405316583900291072
120,1405316592456585217
121,1405316612681568259
122,1405316621430755331
123,1405316625306292224
124,1405316625620897792
125,1405316629915910145
126,1405316629953585159
127,1405316634093359108
128,1405316637960462337
129,1405316650757468167
130,1405316662962921475
131,1405316692297854980
132,1405316696915660802
133,1405316701449646083
134,1405316709804826630
135,1405316739039105029
136,1405316764167147521
137,1405316767820439555
138,1405316772253909004
139,1405316814263959554
140,1405316822853984264
141,1405316827392221184
142,1405316852142665734
143,1405316856219455490
144,1405316856198615041
145,1405316902155472898
146,1405316902629494790
147,1405316906509287428
148,1405316922409840642
149,1405316923848630276
150,1405316936112685060
151,1405316952625532930
152,1405316994434572290
153,1405317003175464960
154,1405317003154538498
155,1405317003670261769
156,1405317007294169088
157,1405317019612848132
158,1405317036348252166
159,1405317036633378825
160,1405317053024776204
161,1405317053565730816
162,1405317066056474624
163,1405317073740472323
164,1405317074243706888
165,1405317082938368000
166,1405317103763271681
167,1405317103658414082
168,1405317103759073285
169,1405317103675002880
