,id_str
0,1368350682974203909
1,1368350683867545602
2,1368350685440446466
3,1368350686539374597
4,1368350686472151042
5,1368350687881465864
6,1368350688284131329
7,1368350688527355905
8,1368350688246456321
9,1368350692767895555
10,1368350692742737922
11,1368350689362022401
12,1368350693053116425
13,1368350694793678850
14,1368350695334756357
15,1368350695359930371
16,1368350695712231426
17,1368350698434293763
18,1368350698589523972
19,1368350699596222464
20,1368350700086976513
21,1368350700296679429
22,1368350701643051008
23,1368350703756992527
24,1368350703786295307
25,1368350703652118534
26,1368350704939712515
27,1368350705367547906
28,1368350706311327746
29,1368350706307129350
30,1368350708102205453
31,1368350708030971904
32,1368350707863130112
33,1368350711784742912
34,1368350716985761801
35,1368350717984014336
36,1368350719808573442
37,1368350724699131911
38,1368350725890277376
39,1368350729065349125
40,1368350729161826315
41,1368350729262542854
42,1368350731690971143
43,1368350733192605698
44,1368350734614474761
45,1368350734870220800
46,1368350737672118276
47,1368350743976161280
48,1368350746282967040
49,1368350747549708290
50,1368350749592326153
51,1368350752025022465
52,1368350754789093378
53,1368350759415382016
54,1368350764482101250
55,1368350765597790212
56,1368350769133551616
57,1368350770114990084
58,1368350773738889216
59,1368350778243620867
60,1368350778759450627
61,1368350788611936260
62,1368350789807247363
63,1368350792038617092
64,1368350795767418883
65,1368350809600167939
66,1368350809692471298
67,1368350815228985345
68,1368350818554966019
69,1368350820912168965
70,1368350826297581569
71,1368350828025815040
72,1368350830294863876
73,1368350830760460288
74,1368350833465843716
75,1368350835613270023
76,1368350843188215811
77,1368350846153613313
78,1368350844190658562
79,1368350849500643329
80,1368350852390522882
81,1368350855360036866
82,1368350857868304389
83,1368350876021227524
84,1368350892257406977
85,1368350903942717441
86,1368350905108664325
87,1368350912813613058
88,1368350916248805377
89,1368350926910685188
90,1368350929771257860
91,1368350934930178050
92,1368350935081222151
93,1368350940915466245
94,1368350945281601536
95,1368350946942681092
96,1368350958808412162
97,1368350962470035458
98,1368350981600247821
99,1368350983089192961
100,1368350985312165891
101,1368351037917118466
102,1368351053947826178
103,1368351060599922692
104,1368351065448480773
105,1368351093000912900
106,1368351132125302784
107,1368351133442351121
108,1368351140711178240
109,1368351154426482688
110,1368351158604070917
111,1368351166732640260
112,1368351187368546306
113,1368351197669724168
114,1368351198965686276
115,1368351199087370240
116,1368351200354000901
117,1368351200857317377
118,1368351204204376069
119,1368351208818278402
120,1368351219987734528
121,1368351222915162112
122,1368351226866319362
123,1368351236651507712
124,1368351238157385732
125,1368351259439333380
126,1368351279559274499
127,1368351336031547393
128,1368351358731059202
129,1368351372093972480
130,1368351376292655108
131,1368351393971634180
132,1368351397800972289
133,1368351405921103872
134,1368351436245856259
135,1368351438825521153
136,1368351440679411712
137,1368351444881920001
138,1368351445901262854
139,1368351447658737669
140,1368351449000906752
141,1368351451932729344
142,1368351455803961344
143,1368351459436228608
144,1368351461176918016
145,1368351463928434688
146,1368351472912461827
147,1368351494282559488
148,1368351516004913152
149,1368351522174554113
150,1368351523210747914
151,1368351525773467652
152,1368351538595438596
153,1368351538842918915
154,1368351539740413952
155,1368351585412280323
156,1368351589514219527
157,1368351595860287490
158,1368351604013993985
159,1368351605393940490
160,1368351607625236485
161,1368351610502537219
162,1368351615867043842
163,1368351636435869696
164,1368351648108646400
165,1368351651359117312
166,1368351655394213888
167,1368351672611844102
168,1368351674499276804
169,1368351678194454531
170,1368351682069897221
171,1368351687614885892
172,1368351691339366402
173,1368351701955088388
174,1368351702324289541
175,1368351707495862273
176,1368351717574737929
177,1368351722523881472
178,1368351726298873865
179,1368351727678726146
180,1368351730639892480
181,1368351748910354440
182,1368351752186175489
183,1368351754723549185
184,1368351755973636096
185,1368351765964468224
186,1368351774747328515
187,1368351785237180416
188,1368351785614770176
189,1368351789150400513
190,1368351792908566528
191,1368351795785916418
192,1368351805650870272
193,1368351818670018568
194,1368351826035306497
195,1368351829679992835
196,1368351837561237505
197,1368351840916680705
198,1368351847577128960
199,1368351879139389446
200,1368351879286185985
201,1368351887750144000
202,1368351890170339329
203,1368351892460376064
204,1368351893584572418
205,1368351895102758913
206,1368351899838275593
207,1368351906779832320
208,1368351940040552449
209,1368351941722435584
210,1368351942506872835
211,1368351946617331712
212,1368351949649809408
213,1368351949804818432
214,1368351950626988032
215,1368351958667436033
216,1368351966858944513
217,1368351969094537216
218,1368351970885566472
219,1368351978732986368
220,1368351986358362112
221,1368351987029401610
222,1368352016716603397
223,1368352016817340416
224,1368352022911725568
225,1368352026904596481
226,1368352045112193030
227,1368352048937246724
228,1368352056470290445
229,1368352066402480129
230,1368352068247949313
231,1368352071418662913
232,1368352075889917956
233,1368352077160845312
234,1368352080939847681
235,1368352083255066624
236,1368352084832251909
237,1368352094105858053
238,1368352094378409988
239,1368352108609691648
240,1368352114246889473
241,1368352117572972548
242,1368352131112075271
243,1368352137881718786
244,1368352150527545345
245,1368352153249738753
246,1368352155556544512
247,1368352156328235008
248,1368352175038996481
249,1368352186850185221
250,1368352193087119363
251,1368352195184369668
252,1368352195452821504
253,1368352202742448130
254,1368352205628137480
255,1368352207997865987
256,1368352209470173184
257,1368352212183748615
258,1368352220736012290
259,1368352222321381378
260,1368352252751056896
261,1368352254714023937
262,1368352254902820868
263,1368352262242861056
264,1368352265187299328
265,1368352267406090249
266,1368352288729952259
267,1368352292194377728
268,1368352296258723840
269,1368352298959781891
270,1368352312922636288
271,1368352327413891072
272,1368352327799742467
273,1368352328328179714
274,1368352328370114561
275,1368352328965758978
276,1368352330257739777
277,1368352347181608962
278,1368352354207232002
279,1368352354421121027
280,1368352356694429696
281,1368352363765854215
282,1368352383411965956
283,1368352384141828099
284,1368352386973134850
285,1368352390802337794
286,1368352399673458700
287,1368352401225363456
288,1368352410624811014
289,1368352416249360385
290,1368352432116412420
291,1368352435857731585
292,1368352444334366726
293,1368352448629325825
294,1368352454127931394
295,1368352458242621440
296,1368352472536735748
297,1368352484972957699
298,1368352489540521987
299,1368352493223223299
300,1368352494104018945
301,1368352499233591299
302,1368352502622650370
303,1368352518028279811
304,1368352540732096523
305,1368352564698247173
306,1368352589784432641
307,1368352591734841346
308,1368352595606188037
309,1368352598554730500
310,1368352614866423808
311,1368352615743053833
312,1368352626367205376
313,1368352626593701891
314,1368352629894475778
315,1368352633694552066
316,1368352635124932612
317,1368352639407165442
318,1368352646235586568
319,1368352657014992899
320,1368352682503733249
321,1368352683795640323
322,1368352691684970496
323,1368352692662374407
324,1368352695493476352
325,1368352696361570306
326,1368352696462434312
327,1368352697724792835
328,1368352701281497091
329,1368352706805387266
330,1368352710450421764
331,1368352713042522113
332,1368352715630346240
333,1368352723494666244
334,1368352723775725568
335,1368352728964100096
336,1368352729391714304
337,1368352732567003139
338,1368352735230369797
339,1368352754213785609
340,1368352755052609538
341,1368352772194729988
342,1368352801760321539
343,1368352810107076614
344,1368352814993453063
345,1368352818432737283
346,1368352843334291459
347,1368352844806504450
348,1368352846236639232
