,id_str
0,1390456344663060486
1,1390456348345737219
2,1390456348442304514
3,1390456348924682251
4,1390456357329977344
5,1390456357518815239
6,1390456361591480321
7,1390456361536872453
8,1390456365030776843
9,1390456365727076359
10,1390456369858351106
11,1390456375977852934
12,1390456382126796800
13,1390456390959964166
14,1390456391014432769
15,1390456395267514371
16,1390456407250636810
17,1390456416461197318
18,1390456416096460804
19,1390456424531120131
20,1390456428821848070
21,1390456432298840065
22,1390456432412200965
23,1390456436979814400
24,1390456449575399425
25,1390456458345648134
26,1390456483452620801
27,1390456495670767620
28,1390456495544979459
29,1390456508173934594
30,1390456508387758081
31,1390456516033974277
32,1390456521209696257
33,1390456525072723968
34,1390456525567807491
35,1390456533624950787
36,1390456562624258054
37,1390456571856101380
38,1390456583860244480
39,1390456588318687233
40,1390456588494852096
41,1390456592240300033
42,1390456592475336705
43,1390456604986941447
44,1390456617389363200
45,1390456625702572032
46,1390456638318989313
47,1390456646808309761
48,1390456647059902465
49,1390456667691622401
50,1390456679792263170
51,1390456684426915843
52,1390456722347773952
53,1390456739263356931
54,1390456747840712708
55,1390456751934300165
56,1390456755625238531
57,1390456764043300865
58,1390456764336951299
59,1390456768636067840
60,1390456772717015041
61,1390456780874997760
62,1390456781105635328
63,1390456789305487361
64,1390456789498359808
65,1390456810813935620
66,1390456810893496322
67,1390456818565107715
68,1390456822952337414
69,1390456827264053249
70,1390456827406479360
71,1390456827343556610
72,1390456844154556416
73,1390456847795167239
74,1390456852794810372
75,1390456856406016003
76,1390456860612993025
77,1390456869123248131
78,1390456881882222594
79,1390456885900451840
80,1390456889964580864
81,1390456894448226304
82,1390456898810351621
83,1390456906775420930
84,1390456927797145600
85,1390456940216475648
86,1390456940430565376
87,1390456944834588682
88,1390456949058179078
89,1390456961318244352
90,1390456965592096768
91,1390456969694154754
92,1390456998903353347
93,1390461305358897154
94,1390461310580756481
95,1390461311163666434
96,1390461331749363713
97,1390461335624945666
98,1390461344227504130
99,1390461352699994115
100,1390461361122156546
101,1390461361055019014
102,1390461367988236288
103,1390461378335490051
104,1390461382538108928
105,1390461390289358851
106,1390461390306091010
107,1390461390520037376
108,1390461390494715905
109,1390461390943506435
110,1390461398929612803
111,1390461411315404807
112,1390461420106563584
113,1390461436137152517
114,1390461436845912067
115,1390461444827791361
116,1390461457473720324
117,1390461474343116804
118,1390461474800238592
119,1390461487307661315
120,1390461495163727872
121,1390461499332829187
122,1390461504164597763
123,1390461508426080256
124,1390461512209240070
125,1390461550293446656
126,1390461554290798597
127,1390461558346723330
