,id_str
0,1324864139085279234
1,1324864139320320001
2,1324864139102089217
3,1324864139177697285
4,1324864139760689152
5,1324864140024819712
6,1324864140293382144
7,1324864140075134976
8,1324864142210166786
9,1324864142243745799
10,1324864142600097794
11,1324864143208411137
12,1324864143006945283
13,1324864142944030722
14,1324864145867431936
15,1324864146911977472
16,1324864145812938754
17,1324864147297886208
18,1324864148690374663
19,1324864150477041665
20,1324864151383109633
21,1324864151416532992
22,1324864163827560455
23,1324864165039628288
24,1324864166700732419
25,1324864174653136904
26,1324864177131958272
27,1324864178537066496
28,1324864179250089985
29,1324864184836890625
30,1324864186564956160
31,1324864187387047945
32,1324864195544969230
33,1324864196673204230
34,1324864197197492225
35,1324864198657060866
36,1324864199969796096
37,1324864201811132417
38,1324864203870625803
39,1324864204537520142
40,1324864205363818499
41,1324864212611559424
42,1324864213496422401
43,1324864213534257153
44,1324864225022455808
45,1324864226406633472
46,1324864230689009665
47,1324864230823178241
48,1324864230684839939
49,1324864233356537856
50,1324864239958446081
51,1324864250599276545
52,1324864256358158336
53,1324864260539736064
54,1324864260493750272
55,1324864260703399937
56,1324864264079880192
57,1324864267187855367
58,1324864269972766721
59,1324864270983696386
60,1324864279615582208
61,1324864283377864705
62,1324864287102427138
63,1324864287291092995
64,1324864290478723073
65,1324864292588572673
66,1324864292840206338
67,1324864293670674433
68,1324864295914643460
69,1324864302147366912
70,1324864303762124801
71,1324864305720778752
72,1324864306840653824
73,1324864307599986688
74,1324864308820520960
75,1324864310280151045
76,1324864311991263232
77,1324864313383907328
78,1324864315493650432
79,1324864316772904963
80,1324864317997547521
81,1324864323567538176
82,1324864332832919552
83,1324864339505934336
84,1324864344220438529
85,1324864346959323136
86,1324864350604156941
87,1324864354370514944
88,1324864362335571970
89,1324864370262859776
90,1324864376260624384
91,1324864380471816199
92,1324864385299394569
93,1324864387245596672
94,1324864390592651264
95,1324864390965948418
96,1324864390986870784
97,1324864390999498752
98,1324864394744958978
99,1324864395042844673
100,1324864401313292288
101,1324864402617753612
102,1324864403913764864
103,1324864407348842496
104,1324864413589975041
105,1324864413774479360
106,1324864414420504583
107,1324864416849022976
108,1324864417419423747
109,1324864417583001602
110,1324864417620758528
111,1324864418056974336
112,1324864418572800003
113,1324864419369639936
114,1324864420422569986
115,1324864422184185860
116,1324864423031345152
117,1324864426613207048
118,1324864430660853761
119,1324864430975422464
120,1324864439062028294
121,1324864447463129090
122,1324864449535205376
123,1324864462076207111
124,1324864461216206849
125,1324864463137169409
126,1324864470884077568
127,1324864477620269060
128,1324864479331446785
129,1324864479281156099
130,1324864481533587460
131,1324864498591801344
132,1324864503389982721
133,1324864517860421641
134,1324864519563341824
135,1324864520796336129
136,1324864528929218560
137,1324864534364893184
138,1324864533865910272
139,1324864536520740864
140,1324864539142352898
141,1324864539335200768
142,1324864548378013696
143,1324864551138037768
144,1324864555445522435
145,1324864577658621953
146,1324864580875673601
147,1324864584629383168
148,1324864586894471168
149,1324864590337945601
150,1324864613884817408
151,1324864615080062976
152,1324864616200015877
153,1324864617722470400
154,1324864641848270848
155,1324864642829717505
156,1324864642385113094
157,1324864642905206785
158,1324864643005882373
159,1324864661225938945
160,1324864661527932931
161,1324864661687296001
162,1324864662559576064
163,1324864665122340865
164,1324864665927610368
165,1324864675285241861
166,1324864685376761859
167,1324864687960428547
168,1324864699498815488
169,1324864701264781316
170,1324864701826740224
171,1324864702392971264
172,1324864703160586242
173,1324864708860645382
174,1324864715613495297
175,1324864723221803008
176,1324864742129717248
177,1324864745103482880
178,1324864753605414913
179,1324864753727049729
180,1324864765068406784
181,1324864767153090569
182,1324864769824862210
183,1324864771561238528
184,1324864776607047683
185,1324864806294347776
186,1324864814288547841
187,1324864818009006087
188,1324864825651040258
189,1324864828066811904
190,1324864828645781509
191,1324864831082541056
192,1324864833800581122
193,1324864840972685314
194,1324864852112920576
195,1324864853006233600
196,1324864863106191361
197,1324864868944470016
198,1324864870181793793
199,1324864879078027265
200,1324864884941729792
201,1324864889689530370
202,1324864889790189568
203,1324864894496202752
204,1324864897516236801
205,1324864904105398272
206,1324864905061801985
207,1324864912565395456
208,1324864917661491200
209,1324864917774741504
210,1324864918047383553
211,1324864917984456707
212,1324864919070777344
213,1324864919188148227
214,1324864921243422720
215,1324864921256009729
216,1324864926196887552
217,1324864927375437828
218,1324864943888490503
219,1324864944165294091
220,1324864947956879361
221,1324864951773704194
222,1324864953371811848
223,1324864972233510914
224,1324864977853845505
225,1324864984229306370
226,1324864989874724864
227,1324864994811367424
228,1324864995742507009
229,1324864996363399170
230,1324865004101914624
231,1324865009705476096
232,1324865011945123841
233,1324865038776197120
234,1324865050021031937
235,1324865051703074816
236,1324865052919279616
237,1324865061035405313
238,1324865072062226435
239,1324865085139988483
240,1324865085551112193
241,1324865091414724609
242,1324865097249017856
243,1324865119252340741
244,1324865132309094402
245,1324865141494538241
246,1324865142060945409
247,1324865147517739009
248,1324865150726402050
249,1324865155558232066
250,1324865155558158336
251,1324865158129152000
252,1324865169487441926
253,1324865184326852608
254,1324865192233115653
255,1324865193365663750
256,1324865198738583555
257,1324865198939729920
258,1324865199027970058
259,1324865202257448965
260,1324865210327379971
261,1324865210998460416
262,1324865216639868929
263,1324865218409713664
264,1324865218892148742
265,1324865225624072195
266,1324865239079399424
267,1324865243965747200
268,1324865259757309952
269,1324865271484411905
270,1324865272499625985
271,1324865276614234119
272,1324865299938750464
273,1324865312232255490
274,1324865312454565890
275,1324865316212494341
276,1324865317747613701
277,1324865320595677186
278,1324865327469981696
279,1324865337578434560
280,1324865345233035265
281,1324865346667483137
282,1324865351872557056
283,1324865355290865665
284,1324865355953692676
285,1324865362320646146
286,1324865367110545412
287,1324865373632655365
288,1324865375738138626
289,1324865397686820864
290,1324865398089666560
291,1324865400216170496
292,1324865401235382272
293,1324865402502057991
294,1324865409393324037
295,1324865416607399938
296,1324865420554285057
297,1324865421170925571
298,1324865422089359360
299,1324865423528120321
300,1324865423515455489
301,1324865425335836677
302,1324865426552221697
303,1324865425285525504
304,1324865435939074052
305,1324865444461809668
306,1324865455409025026
307,1324865462367367168
308,1324865465206837248
309,1324865474031738885
310,1324865475554275330
311,1324865493388365824
312,1324865498128011264
313,1324865500279676933
314,1324865501818970114
315,1324865503773544452
316,1324865507619713024
317,1324865513839755264
318,1324865523629305862
319,1324865535381811200
320,1324865538359758849
321,1324865540209463301
322,1324865566629220352
323,1324865573252173824
324,1324865576418807810
325,1324865576968232960
326,1324865582408331265
327,1324865589584818176
328,1324865599575633922
329,1324865601890869251
330,1324865602977148928
331,1324865605011431426
332,1324865607771230208
333,1324865619355824128
334,1324865626616291328
335,1324865641954816001
336,1324865642978308096
337,1324865643246723072
338,1324865649177464844
339,1324865651719155712
340,1324865652092493825
341,1324865658174263296
342,1324865664092430339
343,1324865666680303617
344,1324865670581022720
345,1324865670979399685
346,1324865677526622209
347,1324865689455194113
348,1324865703162179585
349,1324865710582009858
350,1324865714591846403
351,1324865718614024193
352,1324865727073931266
353,1324865742156820480
354,1324865751258337280
355,1324865751363313670
356,1324865761463177217
357,1324865766966038528
358,1324865771110100998
359,1324865776403304448
360,1324865781637799939
361,1324865801762037760
362,1324865815032725504
363,1324865821148000256
364,1324865825942089728
365,1324865832434851840
366,1324865838839697410
367,1324865844472655873
368,1324865853922435073
369,1324865856979918848
370,1324865877574082560
371,1324865879549505536
372,1324865891339821057
373,1324865899476606976
374,1324865907676606464
375,1324865910071586816
376,1324865910897864704
377,1324865917973639175
378,1324865922251825153
379,1324865922587222016
380,1324865935858151424
381,1324865939519774722
382,1324865943756021763
383,1324865945790156801
384,1324865953989947394
385,1324865959618772992
386,1324865961468469248
387,1324865994897072128
388,1324865996595802115
389,1324866001398353926
390,1324866004019679232
391,1324866008864133120
392,1324866014991978496
393,1324866017139576832
394,1324866020738207745
395,1324866026350243844
396,1324866034399109123
397,1324866039792930816
398,1324866053650964480
399,1324866062303830016
400,1324866065910919169
401,1324866067160846337
402,1324866070092673024
403,1324866073397764099
404,1324866079764705280
405,1324866083938045953
406,1324866087108939785
407,1324866090183389185
408,1324866093375172608
409,1324866108743176198
410,1324866115823079424
411,1324866134982717445
412,1324866152644956161
413,1324866152518971394
414,1324866158684729345
415,1324866160551104513
416,1324866161088094211
417,1324866161687793666
418,1324866163193438208
419,1324866164762226692
420,1324866165470945280
421,1324866165810868224
422,1324866166142234624
423,1324866173444321281
424,1324866173553537025
425,1324866175503904778
426,1324866176170811393
427,1324866181300424704
428,1324866195422580743
429,1324866196479508480
430,1324866199902154752
431,1324866201139384323
432,1324866204415234049
433,1324866219455885312
434,1324866221532041216
435,1324866226544390152
436,1324866226678603778
437,1324866228989681665
438,1324866237759954951
439,1324866240142303232
440,1324866242210111489
441,1324866242809884672
442,1324866249038327808
443,1324866254944002048
444,1324866262044979200
445,1324866262837686274
446,1324866274128695296
447,1324866283309985794
448,1324866284916502529
449,1324866288699629569
450,1324866292604686341
451,1324866296626884613
452,1324866305355345920
453,1324866306449973249
454,1324866322019315719
455,1324866323571224579
456,1324866341849927680
457,1324866354126618624
458,1324866354202206210
459,1324866355749851137
460,1324866359776468993
461,1324866363098337288
462,1324866365514133504
463,1324866366638321665
464,1324866371176509442
465,1324866390885621760
466,1324866395998466049
467,1324866397642645505
468,1324866398917586944
469,1324866401757257731
470,1324866403007148032
471,1324866409940258816
472,1324866412121378817
473,1324866411878084608
474,1324866412712583168
475,1324866413312421889
476,1324866426235138049
477,1324866440541958150
478,1324866442555060224
479,1324866451241496577
480,1324866453586075648
481,1324866461291188224
482,1324866467280658433
483,1324866473840549889
484,1324866483957198850
485,1324866486536708100
486,1324866503422906370
487,1324866504488325120
488,1324866504676925445
489,1324866518400839680
490,1324866530878910465
491,1324866540043341824
492,1324866539829383168
493,1324866542442569728
494,1324866542769598464
495,1324866543994417155
496,1324866544321536001
497,1324866555423969280
498,1324866556782923783
499,1324866557269344256
500,1324866557776945159
501,1324866558590504960
502,1324866567130279941
503,1324866568740696064
504,1324866569181274113
505,1324866569206296576
506,1324866576806502401
507,1324866580753256448
508,1324866583731314694
509,1324866583819325441
510,1324866584670822400
511,1324866588340711424
512,1324866593722077184
513,1324866593629872134
514,1324866601015980032
515,1324866604769882114
516,1324866623837122565
517,1324866647878823937
518,1324866648780759045
519,1324866648944226304
520,1324866655931887617
521,1324866659450937344
522,1324866660843589632
523,1324866665239076864
524,1324866666925338624
525,1324866667357167616
526,1324866677465640965
527,1324866677943709699
528,1324866678509989890
529,1324866680904880130
530,1324866681206939649
531,1324866690316791810
532,1324866691491393536
533,1324866696339972102
534,1324866697229185026
535,1324866700064546821
536,1324866703436644352
537,1324866704124518400
538,1324866707979083776
539,1324866720964685826
540,1324866725800603648
541,1324866726492827648
542,1324866731118977029
543,1324866732570402819
544,1324866734193598466
545,1324866740199821312
546,1324866750354087936
547,1324866751520235525
548,1324866756301651968
549,1324866776858025987
550,1324866777394909185
551,1324866782847447051
552,1324866787419320320
553,1324866791911415808
554,1324866794352422916
555,1324866796860571654
556,1324866800107065344
557,1324866800367116290
558,1324866819161776134
559,1324866818830462976
560,1324866823876173824
561,1324866828129230848
562,1324866837276995584
563,1324866841987018752
564,1324866846387040257
565,1324866847989141504
566,1324866853152452608
567,1324866858441437196
568,1324866864099561473
569,1324866865265598465
570,1324866866641252354
571,1324866874530803715
572,1324866879924674561
573,1324866880398618626
574,1324866882210500608
575,1324866891916201993
576,1324866892365000707
577,1324866893933580289
578,1324866894193516546
579,1324866896303329280
580,1324866907758088199
581,1324866914997264384
582,1324866916373049344
583,1324866917878915075
584,1324866922102616065
585,1324866925659381761
586,1324866928104665089
587,1324866928083660801
588,1324866933506924549
589,1324866942134607878
590,1324866942805618694
591,1324866945863315461
592,1324866954063196161
593,1324866954990137344
594,1324866963135471617
595,1324866980990627841
596,1324866987869282305
597,1324866997365202944
598,1324867006026248192
599,1324867014448406528
600,1324867015455117312
601,1324867019519488002
602,1324867033125826561
603,1324867039182249984
604,1324867039228551170
605,1324867045519929346
606,1324867045842771968
607,1324867049483591680
608,1324867055124836357
609,1324867055674384385
610,1324867058253885443
611,1324867060044861442
612,1324867067745591297
613,1324867068219551746
614,1324867070962569218
615,1324867080152248320
616,1324867081385500672
617,1324867081326764032
618,1324867084212441088
619,1324867092827418624
620,1324867096904409088
621,1324867107071406082
622,1324867110019981312
623,1324867122367922176
624,1324867124423110656
625,1324867125060784133
626,1324867126923059200
627,1324867150243393538
628,1324867165770670080
629,1324867170283606016
630,1324867177518870529
631,1324867178739462146
632,1324867182099009536
633,1324867190890377218
634,1324867198691799042
635,1324867204936998912
636,1324867209190117385
637,1324867211979235329
638,1324867214437216259
639,1324867216324534272
640,1324867217985433601
641,1324867222179778560
642,1324867223748440064
643,1324867229410799617
644,1324867243470061568
645,1324867245051420673
646,1324867246687047680
647,1324867247182110721
648,1324867250214625280
649,1324867258930356232
650,1324867260108959745
651,1324867271949492229
652,1324867284175876098
653,1324867289879990273
654,1324867298021273601
655,1324867299589812224
656,1324867301062160385
657,1324867310285434880
658,1324867314399981569
659,1324867319278022656
660,1324867321085612032
661,1324867324390875137
662,1324867334956314626
663,1324867349867008002
664,1324867350160695300
665,1324867349485395968
666,1324867351012143104
667,1324867352089911298
668,1324867355567136769
669,1324867356997414917
670,1324867359841062913
671,1324867366497382400
672,1324867366489001986
673,1324867377000013826
674,1324867377499000833
675,1324867382330990594
676,1324867384776265728
677,1324867389377417216
678,1324867390384070656
679,1324867394628710400
680,1324867410789199872
