,id_str
0,1445901687978217475
1,1445901688011780097
2,1445901687974207491
3,1445901688091529232
4,1445901692139102208
5,1445901692189413376
6,1445901696756969472
7,1445901701026885632
8,1445901705149706241
9,1445901713358000132
10,1445901717896253446
11,1445901720622534656
12,1445901726020669441
13,1445901734350503939
14,1445901734568595458
15,1445901738209329154
16,1445901737806626819
17,1445901737961811970
18,1445901746828505089
19,1445901759294046209
20,1445901772061618181
21,1445901776314535938
22,1445901780915654656
23,1445901784690483210
24,1445901788213743620
25,1445901788905934849
26,1445901791615279104
27,1445901805536174083
28,1445901810124918789
29,1445901818601500682
30,1445901835055689734
31,1445901839292116995
32,1445901839392673797
33,1445901839468171271
34,1445901855893065730
35,1445901881222565888
36,1445901885324492800
37,1445901885399977988
38,1445901889640361986
39,1445901898049937416
40,1445901914734989314
41,1445901931730382849
42,1445901940156682251
43,1445901940253020160
44,1445901940089622528
45,1445901941586890753
46,1445901948524265473
47,1445901948830560259
48,1445901952743792640
49,1445901961363066880
50,1445901967943946243
51,1445901998574891009
52,1445901998700699649
53,1445902002878300161
54,1445902003083874306
55,1445902011325628417
56,1445902024332087305
57,1445902028165713920
58,1445902040580833280
59,1445902040752799748
60,1445902040987840515
61,1445902045056167939
62,1445902045052026884
63,1445902049116409859
64,1445902057567887360
65,1445902069689368578
66,1445902070347825152
67,1445902074609209344
68,1445902078673448961
69,1445902103679954945
70,1445902124429103109
71,1445902133073571844
72,1445902137087561733
73,1445902145505697798
74,1445902179127021574
75,1445902182948106244
76,1445902183095013379
77,1445902191621853187
78,1445902191785545728
79,1445902199163441155
80,1445902200149008393
81,1445902204443955206
82,1445902212601765896
83,1445902229156745217
84,1445902237604016133
85,1445902246256971778
86,1445902246131081218
87,1445902250375790592
88,1445902254951727104
89,1445902258583982080
90,1445902258776915973
91,1445902266976722950
92,1445902271372431363
93,1445902288128602118
94,1445902296408154117
95,1445902308924035073
96,1445902309163257856
97,1445902329983774724
98,1445902330235400193
99,1445902334144311297
100,1445902342109417477
101,1445902346630967298
102,1445902350967738368
103,1445902351274070023
104,1445902380692750337
105,1445902401811124230
106,1445902409834774529
107,1445902418181439497
108,1445902417673928704
109,1445903416245424132
110,1445903441755131907
111,1445903466572890112
112,1445903471031435268
113,1445903483555782658
114,1445903487699611648
115,1445903487351463948
116,1445903495794728963
117,1445903504409722880
118,1445903504506122242
119,1445903504753631234
120,1445903521040113666
121,1445903525834215431
122,1445903538027069447
123,1445903542477369345
124,1445903546348711937
125,1445903559019487236
126,1445903591223484417
127,1445903592615972864
128,1445903605131722761
129,1445903605161029636
130,1445903622278156288
131,1445903634227548170
132,1445903634508783620
133,1445903638400942080
134,1445903638656733185
135,1445903642830249988
136,1445903676627775491
137,1445903680599953410
138,1445903697779826689
139,1445903697809002499
140,1445903705472131074
141,1445903710262079492
142,1445903735532580866
143,1445903743875227649
144,1445903751999418370
145,1445903752393756672
146,1445903760488759297
147,1445903793686675457
148,1445903815467847681
149,1445903827400527872
150,1445903826817519617
151,1445903831380987907
152,1445903840163741698
153,1445903848200097795
154,1445903869125464064
155,1445903915309019137
156,1445903915564748802
157,1445903927829057539
158,1445903928152006657
159,1445903932144988160
160,1445903939946225672
161,1445903966102069250
162,1445903974192668676
163,1445903974264102912
164,1445903982983933958
165,1445903990701580290
166,1445903995373907968
167,1445903999132225538
168,1445904024792883200
169,1445904024860045320
170,1445904028425019395
171,1445904028915752961
172,1445904045755944966
173,1445904049476300800
174,1445904053720936452
175,1445904066358484995
176,1445904066899595266
177,1445904070326333443
178,1445904833991503875
179,1445904833354022912
