,id_str
0,1435030052068986882
1,1435030937151094786
2,1435030954104479750
3,1435030953936789506
4,1435030962451013635
5,1435030962648276994
6,1435030970651095041
7,1435030975457599488
8,1435030978699923459
9,1435030991832236032
10,1435031000023773190
11,1435031016989761537
12,1435031021137764354
13,1435031021708324864
14,1435031021657886722
15,1435031021641207808
16,1435031025751511040
17,1435031046542614529
18,1435031050791555072
19,1435031067623182338
20,1435031075395231744
21,1435031075751972868
22,1435031146681733125
23,1435031147252273154
24,1435031155598712835
25,1435031163656151044
26,1435031176184487939
27,1435031184384331777
28,1435031197214654469
29,1435031201731985408
30,1435031206295478272
31,1435031210200379393
32,1435031222502281218
33,1435031227224911875
34,1435031239870668804
35,1435031247667957764
36,1435031252386594816
37,1435031256295739395
38,1435031256601743362
39,1435031260670291968
40,1435031281524350978
41,1435031306501509123
42,1435031306539347971
43,1435031315225657344
44,1435031318505611272
45,1435031335932923904
46,1435031335970742272
47,1435031356707278849
48,1435031357042855939
49,1435031361040044036
50,1435031361153236993
51,1435031394833649674
52,1435031398528737282
53,1435031411564630020
54,1435031419584229382
55,1435031424390680576
56,1435031424470446085
57,1435031432276201472
58,1435031432649482250
59,1435031445186269185
60,1435031465558003718
61,1435031478291865605
62,1435031478501531654
63,1435031491101138947
64,1435031499380756481
65,1435031503826833411
66,1435031512072687623
67,1435031512274010114
68,1435031528602578950
69,1435031533149065216
70,1435031545530576900
71,1435031553915203584
72,1435031553789267969
73,1435031578871152640
74,1435031600475955205
75,1435031604896862210
76,1435031620768002049
77,1435031619065188352
78,1435031625721696260
79,1435031629265870850
80,1435031636005978116
81,1435031642070917126
82,1435031662618808322
83,1435031663462043648
84,1435031675268964356
85,1435031688325726211
86,1435031691844886528
87,1435031700766089220
88,1435031704431960068
89,1435031717866360832
90,1435031721641013249
91,1435031729954177025
92,1435032556085317633
93,1435032568710193155
94,1435032573629984769
95,1435032577023352832
96,1435032580785573892
97,1435032598087143426
98,1435032615052988417
99,1435032619234652161
100,1435032631796719619
101,1435032649341407234
102,1435032665204350982
103,1435032665154105353
104,1435032665837686790
105,1435032673546768384
106,1435032677946728449
107,1435032682379898880
108,1435032690684829701
109,1435032694644219906
110,1435032711547088898
111,1435032715867340808
112,1435032720531464192
113,1435032724398510080
114,1435032736687968258
115,1435032737199558667
116,1435032749333700610
117,1435032762126245892
118,1435032766182137858
119,1435032770250567681
120,1435032778966384646
121,1435032779109011459
122,1435032803750580226
123,1435032833052061698
124,1435032833475575810
125,1435032849854484484
126,1435032849959190530
127,1435032850181476352
128,1435032871371165700
129,1435032875137748997
130,1435032883450691585
131,1435032883597434884
132,1435032896104960001
133,1435032896524275716
134,1435032904531316738
135,1435032913473458185
136,1435032929382461442
137,1435032933551779840
138,1435032963268235265
139,1435032979806507008
140,1435032996407619589
141,1435032996676050948
142,1435033001134600195
143,1435033009313382402
144,1435033034928103424
145,1435033043161522182
146,1435033043421605890
147,1435033059972222977
148,1435033063734513667
149,1435033068172099589
150,1435033084722745349
151,1435033089013657600
152,1435033088879468546
153,1435033093090521090
154,1435033105778229249
155,1435033112841359364
156,1435033114686988290
157,1435033126863097856
158,1435033139777138689
159,1435033164552998912
160,1435033181259018242
161,1435033181435179011
162,1435033181514764288
163,1435033194248691714
164,1435033236003033091
165,1435033252864143369
166,1435033256714461189
167,1435033256718528513
168,1435033269800742912
169,1435033281888665601
170,1435033298712121350
171,1435033307226456064
172,1435033307297681412
173,1435033307473920003
174,1435033311890624512
175,1435033319683600392
176,1435033323919773696
177,1435033327770210308
178,1435033335718371328
179,1435033336112635907
180,1435033348880150528
181,1435033357163827203
182,1435033369843314697
183,1435034230585692160
184,1435034251091533826
185,1435034267948625924
186,1435034272058920960
187,1435034284230860801
188,1435034296952266752
189,1435034305768480772
190,1435034305940578305
191,1435034322054959109
192,1435034356008038402
193,1435034388736184321
194,1435034397581979649
195,1435034397896544258
196,1435034401948135425
197,1435034402061361156
198,1435034431534764035
199,1435034431463608323
200,1435034435624243201
201,1435034439743156225
202,1435034439717953541
203,1435034443987636225
204,1435034460639006721
205,1435034468788563968
206,1435034470587977732
207,1435034477617680392
208,1435034481631580160
209,1435034506688352260
210,1435034510790438914
211,1435034535834628097
212,1435034557372264452
213,1435034565291266049
214,1435034565702213635
215,1435034603371343877
216,1435034616184909828
217,1435034628214067200
218,1435034632680923137
219,1435034649135300610
220,1435034666193412096
221,1435034669590843393
222,1435034682698067972
223,1435034682694017024
224,1435034699475341316
225,1435034699676602368
226,1435034716466401280
227,1435034716655079424
228,1435034716865011719
229,1435034758564700161
230,1435034771017584640
231,1435034771076235264
232,1435034779250880514
233,1435034791745888256
234,1435034803783544842
235,1435034825312784386
236,1435034842639577092
237,1435034854643552256
238,1435034858288553987
239,1435034871227953152
240,1435034875812188162
241,1435034880274886656
242,1435034888227332097
243,1435034896603357186
244,1435034896767066121
245,1435034905340268546
246,1435034909790425092
247,1435034913728782339
248,1435034930950467584
249,1435034934494699520
250,1435034947493015555
251,1435034976362369027
252,1435034997359009801
253,1435035000966037504
254,1435035018363998212
